Leg,Cycle,IC_Index,FO_Index,IC_Time,FO_Time,Trial_ID
L,17,13037,13143,65.185,65.715,1
R,14,13146,13272,65.73,66.36,1
L,18,13259,13354,66.295,66.77,1
R,15,13352,13474,66.76,67.37,1
L,19,13468,13566,67.34,67.83,1
R,16,13565,13678,67.825,68.39,1
L,20,13676,13778,68.38,68.89,1
R,17,13758,13901,68.79,69.505,1
L,21,13897,13995,69.485,69.97500000000001,1
R,18,13977,14111,69.885,70.555,1
L,22,14108,14204,70.54,71.02,1
R,19,14189,14321,70.94500000000001,71.605,1
L,23,14317,14411,71.58500000000001,72.055,1
R,20,14397,14524,71.985,72.62,1
L,24,14522,14622,72.61,73.11,1
R,21,14606,14741,73.03,73.705,1
L,25,14735,14834,73.675,74.17,1
R,22,14818,14965,74.09,74.825,1
L,26,14960,15051,74.8,75.255,1
R,23,15037,15169,75.185,75.845,1
L,27,15162,15259,75.81,76.295,1
R,24,15245,15383,76.22500000000001,76.915,1
L,28,15374,15471,76.87,77.355,1
R,25,15459,15599,77.295,77.995,1
L,29,15590,15685,77.95,78.425,1
R,26,15685,15814,78.425,79.07000000000001,1
L,30,15787,15898,78.935,79.49,1
R,27,15898,16015,79.49,80.075,1
L,31,16013,16112,80.065,80.56,1
R,28,16097,16239,80.485,81.19500000000001,1
L,32,16234,16332,81.17,81.66,1
R,29,16332,16462,81.66,82.31,1
R,34,18402,18541,92.01,92.705,2
L,37,18517,18634,92.58500000000001,93.17,2
R,35,18618,18760,93.09,93.8,2
L,38,18752,18845,93.76,94.22500000000001,2
R,36,18846,18970,94.23,94.85000000000001,2
L,39,18963,19061,94.815,95.305,2
R,37,19050,19191,95.25,95.955,2
L,40,19182,19282,95.91,96.41,2
R,38,19267,19406,96.33500000000001,97.03,2
L,41,19403,19499,97.015,97.495,2
R,39,19484,19618,97.42,98.09,2
L,42,19610,19712,98.05,98.56,2
R,40,19696,19834,98.48,99.17,2
L,43,19825,19922,99.125,99.61,2
R,41,19911,20043,99.555,100.215,2
L,44,20035,20137,100.175,100.685,2
R,42,20136,20267,100.68,101.33500000000001,2
L,45,20259,20358,101.295,101.79,2
R,43,20359,20486,101.795,102.43,2
L,46,20477,20577,102.385,102.885,2
R,44,20564,20698,102.82000000000001,103.49000000000001,2
L,47,20696,20795,103.48,103.97500000000001,2
R,45,20792,20917,103.96000000000001,104.58500000000001,2
L,48,20910,21008,104.55,105.04,2
R,46,20995,21136,104.97500000000001,105.68,2
L,49,21128,21232,105.64,106.16,2
R,47,21217,21363,106.08500000000001,106.815,2
L,50,21335,21451,106.675,107.255,2
R,48,21438,21579,107.19,107.895,2
L,54,23527,23656,117.635,118.28,3
R,54,23634,23792,118.17,118.96000000000001,3
L,55,23764,23885,118.82000000000001,119.425,3
R,55,23868,24016,119.34,120.08,3
L,56,24009,24101,120.045,120.505,3
R,56,24103,24231,120.515,121.155,3
L,57,24212,24323,121.06,121.61500000000001,3
R,57,24313,24451,121.565,122.255,3
L,58,24449,24551,122.245,122.755,3
R,58,24547,24676,122.735,123.38000000000001,3
L,59,24652,24768,123.26,123.84,3
R,59,24755,24889,123.775,124.44500000000001,3
L,60,24872,24988,124.36,124.94,3
R,60,24976,25121,124.88000000000001,125.605,3
L,61,25098,25222,125.49000000000001,126.11,3
R,61,25205,25352,126.025,126.76,3
L,62,25343,25442,126.715,127.21000000000001,3
R,62,25432,25578,127.16,127.89,3
L,63,25554,25671,127.77,128.355,3
R,63,25658,25799,128.29,128.995,3
L,64,25794,25898,128.97,129.49,3
R,64,25884,26031,129.42000000000002,130.155,3
L,65,26013,26139,130.065,130.695,3
R,65,26118,26263,130.59,131.315,3
L,66,26259,26365,131.29500000000002,131.825,3
R,66,26349,26503,131.745,132.51500000000001,3
L,67,26475,26594,132.375,132.97,3
R,67,26581,26732,132.905,133.66,3
R,72,28570,28711,142.85,143.555,4
L,72,28710,28811,143.55,144.055,4
R,73,28797,28945,143.985,144.725,4
L,73,28921,29037,144.605,145.185,4
R,74,29023,29178,145.115,145.89000000000001,4
L,74,29165,29263,145.82500000000002,146.315,4
R,75,29253,29400,146.26500000000001,147.0,4
L,75,29373,29502,146.865,147.51,4
R,76,29484,29629,147.42000000000002,148.145,4
L,76,29612,29739,148.06,148.695,4
R,77,29718,29867,148.59,149.335,4
L,77,29857,29955,149.285,149.775,4
R,78,29958,30085,149.79,150.425,4
L,78,30078,30185,150.39000000000001,150.925,4
R,79,30168,30304,150.84,151.52,4
L,79,30298,30407,151.49,152.035,4
R,80,30390,30534,151.95000000000002,152.67000000000002,4
L,80,30525,30633,152.625,153.165,4
R,81,30618,30757,153.09,153.785,4
L,81,30742,30828,153.71,154.14000000000001,4
R,82,30827,30898,154.135,154.49,4
L,82,30903,30988,154.51500000000001,154.94,4
R,83,30985,31044,154.925,155.22,4
L,83,31047,31306,155.235,156.53,4
R,84,31201,31410,156.005,157.05,4
L,84,31391,31501,156.955,157.505,4
R,85,31487,31632,157.435,158.16,4
L,85,31618,31724,158.09,158.62,4
R,86,31709,31849,158.54500000000002,159.245,4
L,86,31840,31947,159.20000000000002,159.735,4
