Leg,Cycle,IC_Index,FO_Index,IC_Time,FO_Time,Trial_ID
L,27,10688,,53.44,,1
L,28,10797,,53.985,,1
L,29,10902,,54.51,,1
L,30,10962,,54.81,,1
R,39,12695,,63.475,,2
L,40,12819,,64.095,,2
R,41,12923,,64.615,,2
L,42,13046,,65.23,,2
R,43,13131,,65.655,,2
L,44,13243,,66.215,,2
R,45,13338,,66.69,,2
L,46,13452,,67.26,,2
R,47,13564,,67.82000000000001,,2
L,48,13659,,68.295,,2
R,49,13760,,68.8,,2
L,50,13880,,69.4,,2
R,51,13976,,69.88,,2
L,52,14092,,70.46000000000001,,2
R,53,14189,,70.94500000000001,,2
L,54,14301,,71.505,,2
R,55,14396,,71.98,,2
L,56,14507,,72.535,,2
R,57,14605,,73.025,,2
L,58,14719,,73.595,,2
R,59,14816,,74.08,,2
L,60,14944,,74.72,,2
R,61,15035,,75.175,,2
L,62,15146,,75.73,,2
R,63,15243,,76.215,,2
L,64,15358,,76.79,,2
R,65,15458,,77.29,,2
L,66,15574,,77.87,,2
R,67,15671,,78.355,,2
L,68,15786,,78.93,,2
R,69,15897,,79.485,,2
L,70,15997,,79.985,,2
R,71,16097,,80.485,,2
L,72,16217,,81.08500000000001,,2
R,73,16317,,81.58500000000001,,2
L,74,16435,,82.175,,2
R,83,18400,,92.0,,3
L,84,18515,,92.575,,3
R,85,18617,,93.08500000000001,,3
L,86,18735,,93.675,,3
R,87,18832,,94.16,,3
L,88,18949,,94.745,,3
R,89,19048,,95.24,,3
L,90,19166,,95.83,,3
R,91,19267,,96.33500000000001,,3
L,92,19387,,96.935,,3
R,93,19483,,97.415,,3
L,94,19596,,97.98,,3
R,95,19696,,98.48,,3
L,96,19809,,99.045,,3
R,97,19910,,99.55,,3
L,98,20020,,100.10000000000001,,3
R,99,20122,,100.61,,3
L,100,20242,,101.21000000000001,,3
R,101,20344,,101.72,,3
L,102,20460,,102.3,,3
R,103,20564,,102.82000000000001,,3
L,104,20680,,103.4,,3
R,105,20778,,103.89,,3
L,106,20893,,104.465,,3
R,107,20995,,104.97500000000001,,3
L,108,21111,,105.555,,3
R,109,21217,,106.08500000000001,,3
L,110,21336,,106.68,,3
R,111,21437,,107.185,,3
L,112,21555,,107.775,,3
R,121,23396,,116.98,,4
L,122,23527,,117.635,,4
R,123,23636,,118.18,,4
L,124,23764,,118.82000000000001,,4
R,125,23868,,119.34,,4
L,126,23992,,119.96000000000001,,4
R,127,24102,,120.51,,4
L,128,24211,,121.055,,4
R,129,24312,,121.56,,4
L,130,24433,,122.165,,4
R,131,24533,,122.665,,4
L,132,24652,,123.26,,4
R,133,24753,,123.765,,4
L,134,24871,,124.355,,4
R,135,24975,,124.875,,4
L,136,25097,,125.485,,4
R,137,25206,,126.03,,4
L,138,25327,,126.635,,4
R,139,25433,,127.165,,4
L,140,25552,,127.76,,4
R,141,25657,,128.285,,4
L,142,25776,,128.88,,4
R,143,25883,,129.415,,4
L,144,26011,,130.055,,4
R,145,26118,,130.59,,4
L,146,26242,,131.21,,4
R,147,26348,,131.74,,4
L,148,26475,,132.375,,4
R,149,26581,,132.905,,4
L,150,26702,,133.51,,4
R,151,26814,,134.07,,4
R,160,28570,,142.85,,5
L,161,28694,,143.47,,5
R,162,28796,,143.98,,5
L,163,28920,,144.6,,5
R,164,29025,,145.125,,5
L,165,29148,,145.74,,5
R,166,29251,,146.255,,5
L,167,29372,,146.86,,5
R,168,29484,,147.42000000000002,,5
L,169,29610,,148.05,,5
R,170,29719,,148.595,,5
L,171,29840,,149.20000000000002,,5
R,172,29943,,149.715,,5
L,173,30062,,150.31,,5
R,174,30169,,150.845,,5
L,175,30283,,151.415,,5
R,176,30390,,151.95000000000002,,5
L,177,30510,,152.55,,5
R,178,30619,,153.095,,5
L,179,30729,,153.645,,5
L,180,30833,,154.165,,5
R,181,30906,,154.53,,5
R,182,30972,,154.86,,5
L,183,31143,,155.715,,5
L,184,31375,,156.875,,5
R,185,31486,,157.43,,5
L,186,31602,,158.01,,5
R,187,31708,,158.54,,5
L,188,31824,,159.12,,5
R,189,31934,,159.67000000000002,,5
