Leg,Cycle,IC_Index,FO_Index,IC_Time,FO_Time,Trial_ID
R,43,13131,,65.655,,24
L,44,13243,,66.215,,24
R,45,13338,,66.69,,24
L,46,13452,,67.26,,24
R,47,13564,,67.82000000000001,,24
L,48,13659,,68.295,,24
R,49,13760,,68.8,,24
L,50,13880,,69.4,,24
R,51,13976,,69.88,,24
L,52,14092,,70.46000000000001,,24
R,53,14189,,70.94500000000001,,24
L,54,14301,,71.505,,24
R,55,14396,,71.98,,24
L,56,14507,,72.535,,24
R,57,14605,,73.025,,24
L,58,14719,,73.595,,24
R,59,14816,,74.08,,24
L,60,14944,,74.72,,24
R,61,15035,,75.175,,24
L,62,15146,,75.73,,24
R,63,15243,,76.215,,24
L,64,15358,,76.79,,24
R,65,15458,,77.29,,24
L,66,15574,,77.87,,24
R,67,15671,,78.355,,24
L,68,15786,,78.93,,24
R,85,18617,,93.08500000000001,,27
L,86,18735,,93.675,,27
R,87,18832,,94.16,,27
L,88,18949,,94.745,,27
R,89,19048,,95.24,,27
L,90,19166,,95.83,,27
R,91,19267,,96.33500000000001,,27
L,92,19387,,96.935,,27
R,93,19483,,97.415,,27
L,94,19596,,97.98,,27
R,95,19696,,98.48,,27
L,96,19809,,99.045,,27
R,97,19910,,99.55,,27
L,98,20020,,100.10000000000001,,27
R,99,20122,,100.61,,27
L,100,20242,,101.21000000000001,,27
R,101,20344,,101.72,,27
L,102,20460,,102.3,,27
R,103,20564,,102.82000000000001,,27
L,104,20680,,103.4,,27
R,105,20778,,103.89,,27
L,106,20893,,104.465,,27
R,107,20995,,104.97500000000001,,27
L,124,23764,,118.82000000000001,,30
R,125,23868,,119.34,,30
L,126,23992,,119.96000000000001,,30
R,127,24102,,120.51,,30
L,128,24211,,121.055,,30
R,129,24312,,121.56,,30
L,130,24433,,122.165,,30
R,131,24533,,122.665,,30
L,132,24652,,123.26,,30
R,133,24753,,123.765,,30
L,134,24871,,124.355,,30
R,135,24975,,124.875,,30
L,136,25097,,125.485,,30
R,137,25206,,126.03,,30
L,138,25327,,126.635,,30
R,139,25433,,127.165,,30
L,140,25552,,127.76,,30
R,141,25657,,128.285,,30
L,142,25776,,128.88,,30
R,143,25883,,129.415,,30
L,144,26011,,130.055,,30
R,145,26118,,130.59,,30
L,146,26242,,131.21,,30
R,147,26348,,131.74,,30
L,148,26475,,132.375,,30
R,162,28796,,143.98,,31
L,163,28920,,144.6,,31
R,164,29025,,145.125,,31
L,165,29148,,145.74,,31
R,166,29251,,146.255,,31
L,167,29372,,146.86,,31
R,168,29484,,147.42000000000002,,31
L,169,29610,,148.05,,31
R,170,29719,,148.595,,31
L,171,29840,,149.20000000000002,,31
R,172,29943,,149.715,,31
L,173,30062,,150.31,,31
R,174,30169,,150.845,,31
