Leg,Cycle,IC_Index,FO_Index,IC_Time,FO_Time,Trial_ID
L,11,11843,11947,59.215,59.735,1
R,12,11941,12039,59.705,60.195,1
L,12,12035,12134,60.175000000000004,60.67,1
R,13,12126,12229,60.63,61.145,1
L,13,12224,12320,61.120000000000005,61.6,1
R,14,12313,12420,61.565000000000005,62.1,1
L,14,12412,12512,62.06,62.56,1
R,15,12506,12607,62.53,63.035000000000004,1
L,15,12600,12699,63.0,63.495000000000005,1
R,16,12692,12793,63.46,63.965,1
L,16,12788,12891,63.940000000000005,64.455,1
R,17,12869,12983,64.345,64.915,1
L,17,12976,13079,64.88,65.395,1
R,18,13068,13171,65.34,65.855,1
L,18,13165,13267,65.825,66.33500000000001,1
R,19,13256,13361,66.28,66.805,1
L,19,13355,13453,66.775,67.265,1
R,20,13447,13549,67.235,67.745,1
L,20,13541,13645,67.705,68.225,1
R,21,13635,13740,68.175,68.7,1
L,21,13734,13834,68.67,69.17,1
R,22,13827,13930,69.135,69.65,1
L,22,13922,14025,69.61,70.125,1
R,23,14013,14116,70.065,70.58,1
L,23,14112,14211,70.56,71.055,1
R,24,14202,14308,71.01,71.54,1
L,24,14302,14402,71.51,72.01,1
R,25,14393,14498,71.965,72.49,1
L,25,14492,14593,72.46000000000001,72.965,1
L,29,17302,17397,86.51,86.985,2
R,31,17389,17490,86.94500000000001,87.45,2
L,30,17484,17596,87.42,87.98,2
R,32,17569,17695,87.845,88.47500000000001,2
L,31,17689,17797,88.44500000000001,88.985,2
R,33,17773,17901,88.865,89.505,2
L,32,17880,18006,89.4,90.03,2
R,34,17993,18093,89.965,90.465,2
L,33,18089,18187,90.44500000000001,90.935,2
R,35,18177,18288,90.885,91.44,2
L,34,18280,18391,91.4,91.955,2
R,36,18378,18491,91.89,92.455,2
L,35,18483,18591,92.415,92.955,2
R,37,18579,18691,92.895,93.455,2
L,36,18683,18787,93.415,93.935,2
R,38,18777,18891,93.885,94.455,2
L,37,18881,18986,94.405,94.93,2
R,39,18977,19089,94.885,95.44500000000001,2
L,38,19080,19194,95.4,95.97,2
R,40,19182,19287,95.91,96.435,2
L,39,19280,19390,96.4,96.95,2
R,41,19364,19480,96.82000000000001,97.4,2
L,40,19477,19589,97.385,97.94500000000001,2
R,42,19571,19686,97.855,98.43,2
L,41,19679,19786,98.395,98.93,2
R,43,19763,19890,98.815,99.45,2
L,42,19881,19985,99.405,99.925,2
R,44,19978,20084,99.89,100.42,2
L,43,20076,20184,100.38,100.92,2
R,45,20173,20284,100.86500000000001,101.42,2
L,44,20275,20388,101.375,101.94,2
R,46,20378,20489,101.89,102.44500000000001,2
L,49,22470,22575,112.35000000000001,112.875,3
R,51,22568,22678,112.84,113.39,3
L,50,22668,22777,113.34,113.885,3
R,52,22765,22869,113.825,114.345,3
L,51,22864,22966,114.32000000000001,114.83,3
R,53,22957,23075,114.785,115.375,3
L,52,23064,23174,115.32000000000001,115.87,3
R,54,23165,23276,115.825,116.38,3
L,53,23270,23376,116.35000000000001,116.88,3
R,55,23364,23466,116.82000000000001,117.33,3
L,54,23462,23566,117.31,117.83,3
R,56,23555,23664,117.775,118.32000000000001,3
L,55,23656,23759,118.28,118.795,3
R,57,23750,23858,118.75,119.29,3
L,56,23851,23960,119.255,119.8,3
R,58,23934,24062,119.67,120.31,3
L,57,24053,24158,120.265,120.79,3
R,59,24150,24260,120.75,121.3,3
L,58,24251,24363,121.255,121.815,3
R,60,24338,24467,121.69,122.33500000000001,3
L,59,24457,24563,122.285,122.815,3
R,61,24552,24663,122.76,123.315,3
L,60,24653,24756,123.265,123.78,3
R,62,24748,24849,123.74000000000001,124.245,3
L,61,24844,24947,124.22,124.735,3
R,63,24923,25048,124.61500000000001,125.24000000000001,3
L,62,25038,25151,125.19,125.75500000000001,3
R,64,25124,25255,125.62,126.275,3
L,63,25245,25358,126.22500000000001,126.79,3
R,65,25346,25460,126.73,127.3,3
L,69,27618,27722,138.09,138.61,4
R,70,27713,27818,138.565,139.09,4
L,70,27812,27914,139.06,139.57,4
R,71,27905,28016,139.525,140.08,4
L,71,28008,28110,140.04,140.55,4
R,72,28103,28211,140.51500000000001,141.055,4
L,72,28204,28309,141.02,141.54500000000002,4
R,73,28300,28412,141.5,142.06,4
L,73,28404,28511,142.02,142.555,4
R,74,28500,28610,142.5,143.05,4
L,74,28602,28709,143.01,143.54500000000002,4
R,75,28688,28808,143.44,144.04,4
L,75,28801,28914,144.005,144.57,4
R,76,28887,29022,144.435,145.11,4
L,76,29012,29122,145.06,145.61,4
R,77,29113,29220,145.565,146.1,4
L,77,29212,29317,146.06,146.585,4
R,78,29306,29418,146.53,147.09,4
L,78,29409,29514,147.04500000000002,147.57,4
R,79,29507,29618,147.535,148.09,4
L,79,29606,29724,148.03,148.62,4
R,80,29696,29818,148.48,149.09,4
L,80,29812,29923,149.06,149.615,4
R,81,29898,30023,149.49,150.115,4
L,81,30017,30134,150.085,150.67000000000002,4
R,82,30104,30247,150.52,151.235,4
L,82,30220,30353,151.1,151.76500000000001,4
R,83,30338,30456,151.69,152.28,4
L,83,30447,30557,152.235,152.785,4
R,84,30544,30657,152.72,153.285,4
