Leg,Cycle,IC_Index,FO_Index,IC_Time,FO_Time,Trial_ID
L,20,12480,,62.4,,11
R,21,12559,,62.795,,11
L,22,12666,,63.33,,11
R,23,12738,,63.690000000000005,,11
L,24,12853,,64.265,,11
R,25,12942,,64.71000000000001,,11
L,26,13026,,65.13,,11
R,27,13126,,65.63,,11
L,28,13222,,66.11,,11
R,29,13313,,66.565,,11
L,30,13411,,67.055,,11
R,31,13500,,67.5,,11
L,32,13598,,67.99,,11
R,33,13677,,68.385,,11
L,34,13782,,68.91,,11
R,35,13872,,69.36,,11
L,36,13971,,69.855,,11
R,37,14055,,70.275,,11
L,38,14161,,70.805,,11
R,39,14254,,71.27,,11
L,40,14346,,71.73,,11
R,41,14418,,72.09,,11
R,55,16947,,84.735,,12
L,56,17040,,85.2,,12
R,57,17131,,85.655,,12
L,58,17225,,86.125,,12
R,59,17316,,86.58,,12
L,60,17409,,87.045,,12
R,61,17499,,87.495,,12
L,62,17594,,87.97,,12
R,63,17684,,88.42,,12
L,64,17775,,88.875,,12
R,65,17864,,89.32000000000001,,12
L,66,17958,,89.79,,12
R,67,18048,,90.24,,12
L,68,18130,,90.65,,12
R,69,18234,,91.17,,12
L,70,18328,,91.64,,12
R,71,18407,,92.035,,12
L,72,18510,,92.55,,12
R,73,18587,,92.935,,12
L,74,18691,,93.455,,12
R,75,18786,,93.93,,12
L,76,18870,,94.35000000000001,,12
R,77,18955,,94.775,,12
L,92,22732,,113.66,,14
R,93,22827,,114.135,,14
L,94,22919,,114.595,,14
R,95,22997,,114.985,,14
L,96,23102,,115.51,,14
R,97,23195,,115.97500000000001,,14
L,98,23290,,116.45,,14
R,99,23380,,116.9,,14
L,100,23474,,117.37,,14
R,101,23566,,117.83,,14
L,102,23658,,118.29,,14
R,103,23738,,118.69,,14
L,104,23829,,119.145,,14
R,105,23926,,119.63,,14
L,106,24008,,120.04,,14
R,107,24110,,120.55,,14
L,108,24193,,120.965,,14
R,109,24294,,121.47,,14
L,110,24391,,121.955,,14
R,111,24487,,122.435,,14
L,112,24572,,122.86,,14
R,113,24660,,123.3,,14
R,127,26908,,134.54,,15
L,128,27012,,135.06,,15
R,129,27104,,135.52,,15
L,130,27199,,135.995,,15
R,131,27291,,136.455,,15
L,132,27387,,136.935,,15
R,133,27480,,137.4,,15
L,134,27563,,137.815,,15
R,135,27665,,138.32500000000002,,15
L,136,27760,,138.8,,15
R,137,27838,,139.19,,15
L,138,27941,,139.705,,15
R,139,28035,,140.175,,15
L,140,28131,,140.655,,15
R,141,28223,,141.115,,15
L,142,28306,,141.53,,15
R,143,28407,,142.035,,15
L,144,28504,,142.52,,15
R,145,28585,,142.925,,15
L,146,28693,,143.465,,15
R,147,28789,,143.945,,15
L,148,28882,,144.41,,15
R,149,28969,,144.845,,15
