Leg,Cycle,IC_Index,FO_Index,IC_Time,FO_Time,Trial_ID
L,33,13176,,65.88,,10
R,34,13281,,66.405,,10
L,35,13395,,66.975,,10
L,36,13508,,67.54,,10
R,37,13615,,68.075,,10
R,38,13735,,68.675,,10
L,39,13852,,69.26,,10
R,40,13958,,69.79,,10
L,41,14075,,70.375,,10
L,42,14204,,71.02,,10
R,43,14308,,71.54,,10
R,44,14416,,72.08,,10
L,45,14537,,72.685,,10
R,46,14644,,73.22,,10
L,47,14758,,73.79,,10
R,48,14873,,74.365,,10
L,49,14996,,74.98,,10
R,50,15103,,75.515,,10
L,51,15219,,76.095,,10
R,52,15329,,76.645,,10
L,53,15447,,77.235,,10
L,54,15570,,77.85000000000001,,10
R,55,15675,,78.375,,10
L,56,15795,,78.97500000000001,,10
R,57,15896,,79.48,,10
R,58,16008,,80.04,,10
L,59,16128,,80.64,,10
L,73,18865,,94.325,,11
R,74,18976,,94.88,,11
L,75,19100,,95.5,,11
R,76,19206,,96.03,,11
L,77,19322,,96.61,,11
L,78,19446,,97.23,,11
L,79,19550,,97.75,,11
R,80,19657,,98.285,,11
L,81,19780,,98.9,,11
R,82,19897,,99.485,,11
L,83,20013,,100.065,,11
R,84,20137,,100.685,,11
L,85,20243,,101.215,,11
R,86,20359,,101.795,,11
L,87,20482,,102.41,,11
L,112,25167,,125.83500000000001,,13
L,113,25270,,126.35000000000001,,13
R,114,25381,,126.905,,13
L,115,25506,,127.53,,13
R,116,25619,,128.095,,13
L,117,25744,,128.72,,13
R,118,25871,,129.355,,13
L,119,25994,,129.97,,13
R,120,26111,,130.555,,13
L,121,26240,,131.2,,13
R,122,26351,,131.755,,13
L,123,26474,,132.37,,13
R,124,26588,,132.94,,13
L,125,26712,,133.56,,13
R,126,26828,,134.14000000000001,,13
L,127,26952,,134.76,,13
R,128,27075,,135.375,,13
L,129,27203,,136.01500000000001,,13
R,130,27319,,136.595,,13
L,131,27443,,137.215,,13
R,132,27554,,137.77,,13
L,133,27677,,138.385,,13
R,134,27787,,138.935,,13
L,135,27915,,139.57500000000002,,13
R,136,28030,,140.15,,13
L,137,28160,,140.8,,13
R,138,28267,,141.335,,13
L,139,28392,,141.96,,13
R,154,31561,,157.805,,15
L,155,31687,,158.435,,15
R,156,31801,,159.005,,15
L,157,31924,,159.62,,15
R,158,32033,,160.165,,15
L,159,32152,,160.76,,15
L,160,32272,,161.36,,15
R,161,32378,,161.89000000000001,,15
R,162,32484,,162.42000000000002,,15
L,163,32611,,163.055,,15
R,164,32728,,163.64000000000001,,15
L,165,32829,,164.145,,15
R,166,32937,,164.685,,15
L,167,33060,,165.3,,15
R,168,33167,,165.835,,15
L,169,33300,,166.5,,15
R,170,33407,,167.035,,15
L,171,33540,,167.70000000000002,,15
R,172,33653,,168.26500000000001,,15
L,173,33787,,168.935,,15
L,174,33923,,169.615,,15
R,175,34035,,170.175,,15
R,176,34147,,170.735,,15
L,177,34289,,171.445,,15
L,178,34419,,172.095,,15
R,179,34534,,172.67000000000002,,15
R,180,34662,,173.31,,15
L,181,34793,,173.965,,15
R,182,34901,,174.505,,15
