Leg,Cycle,IC_Index,FO_Index,IC_Time,FO_Time,Trial_ID
L,13,9436,9538,47.18,47.69,1
R,15,9527,9638,47.635,48.19,1
L,14,9623,9725,48.115,48.625,1
R,16,9714,9823,48.57,49.115,1
L,15,9809,9914,49.045,49.57,1
R,17,9901,10012,49.505,50.06,1
L,16,10000,10109,50.0,50.545,1
R,18,10097,10205,50.485,51.025,1
L,17,10191,10295,50.955,51.475,1
R,19,10283,10385,51.415,51.925000000000004,1
L,18,10374,10481,51.870000000000005,52.405,1
R,20,10467,10575,52.335,52.875,1
L,19,10561,10661,52.805,53.305,1
R,21,10651,10759,53.255,53.795,1
L,20,10746,10849,53.730000000000004,54.245000000000005,1
R,22,10836,10947,54.18,54.735,1
L,21,10935,11045,54.675000000000004,55.225,1
R,23,11032,11143,55.160000000000004,55.715,1
L,22,11130,11232,55.65,56.160000000000004,1
R,24,11221,11328,56.105000000000004,56.64,1
L,23,11314,11418,56.57,57.09,1
R,25,11405,11510,57.025,57.550000000000004,1
L,24,11498,11599,57.49,57.995000000000005,1
R,26,11588,11695,57.94,58.475,1
L,25,11682,11787,58.410000000000004,58.935,1
R,27,11773,11878,58.865,59.39,1
L,26,11867,11965,59.335,59.825,1
R,28,11954,12060,59.77,60.300000000000004,1
L,27,12047,12148,60.235,60.74,1
R,29,12137,12240,60.685,61.2,1
L,28,12227,12331,61.135,61.655,1
L,33,14260,14362,71.3,71.81,2
R,35,14348,14452,71.74,72.26,2
L,34,14442,14542,72.21000000000001,72.71000000000001,2
R,36,14531,14640,72.655,73.2,2
L,35,14626,14725,73.13,73.625,2
R,37,14714,14819,73.57000000000001,74.095,2
L,36,14806,14905,74.03,74.525,2
R,38,14894,15000,74.47,75.0,2
L,37,14987,15086,74.935,75.43,2
R,39,15075,15182,75.375,75.91,2
L,38,15169,15271,75.845,76.355,2
R,40,15260,15362,76.3,76.81,2
L,39,15352,15453,76.76,77.265,2
R,41,15443,15559,77.215,77.795,2
L,40,15543,15649,77.715,78.245,2
R,42,15639,15747,78.19500000000001,78.735,2
L,41,15733,15838,78.665,79.19,2
R,43,15825,15933,79.125,79.665,2
L,42,15920,16021,79.60000000000001,80.105,2
R,44,16011,16117,80.055,80.58500000000001,2
L,43,16103,16213,80.515,81.065,2
R,45,16199,16308,80.995,81.54,2
L,44,16295,16399,81.47500000000001,81.995,2
R,46,16386,16493,81.93,82.465,2
L,45,16480,16580,82.4,82.9,2
R,47,16569,16671,82.845,83.355,2
L,46,16659,16760,83.295,83.8,2
R,48,16749,16855,83.745,84.275,2
L,47,16841,16944,84.205,84.72,2
R,49,16934,17040,84.67,85.2,2
L,52,18883,18985,94.415,94.925,3
R,54,18974,19081,94.87,95.405,3
L,53,19067,19167,95.33500000000001,95.83500000000001,3
R,55,19159,19262,95.795,96.31,3
L,54,19248,19351,96.24000000000001,96.755,3
R,56,19340,19449,96.7,97.245,3
L,55,19436,19540,97.18,97.7,3
R,57,19529,19634,97.645,98.17,3
L,56,19619,19723,98.095,98.61500000000001,3
R,58,19713,19812,98.565,99.06,3
L,57,19800,19905,99.0,99.525,3
R,59,19894,20004,99.47,100.02,3
L,58,19989,20093,99.94500000000001,100.465,3
R,60,20082,20194,100.41,100.97,3
L,59,20179,20283,100.895,101.415,3
R,61,20269,20376,101.345,101.88,3
L,60,20364,20464,101.82000000000001,102.32000000000001,3
R,62,20452,20562,102.26,102.81,3
L,61,20546,20649,102.73,103.245,3
R,63,20639,20750,103.19500000000001,103.75,3
L,62,20734,20839,103.67,104.19500000000001,3
R,64,20828,20940,104.14,104.7,3
L,63,20924,21038,104.62,105.19,3
R,65,21023,21134,105.11500000000001,105.67,3
L,64,21115,21221,105.575,106.105,3
R,66,21211,21319,106.055,106.595,3
L,65,21302,21411,106.51,107.055,3
R,67,21398,21513,106.99000000000001,107.565,3
L,66,21499,21610,107.495,108.05,3
R,68,21597,21707,107.985,108.535,3
L,67,21691,21795,108.455,108.97500000000001,3
R,69,21782,21890,108.91,109.45,3
L,72,23509,23614,117.545,118.07000000000001,4
R,74,23603,23704,118.015,118.52,4
L,73,23693,23798,118.465,118.99000000000001,4
R,75,23785,23894,118.925,119.47,4
L,74,23881,23984,119.405,119.92,4
R,76,23972,24080,119.86,120.4,4
L,75,24066,24167,120.33,120.83500000000001,4
R,77,24156,24260,120.78,121.3,4
L,76,24246,24352,121.23,121.76,4
R,78,24341,24447,121.705,122.235,4
L,77,24433,24535,122.165,122.675,4
R,79,24525,24631,122.625,123.155,4
L,78,24617,24719,123.08500000000001,123.595,4
R,80,24709,24818,123.545,124.09,4
L,79,24804,24907,124.02,124.535,4
R,81,24895,25003,124.47500000000001,125.015,4
L,80,24988,25091,124.94,125.455,4
R,82,25081,25183,125.405,125.915,4
L,81,25171,25278,125.855,126.39,4
R,83,25265,25369,126.325,126.845,4
L,82,25354,25456,126.77,127.28,4
R,84,25444,25550,127.22,127.75,4
L,83,25534,25641,127.67,128.205,4
R,85,25629,25732,128.145,128.66,4
L,84,25718,25826,128.59,129.13,4
R,86,25814,25925,129.07,129.625,4
L,85,25910,26022,129.55,130.11,4
R,87,26008,26120,130.04,130.6,4
L,86,26102,26210,130.51,131.05,4
R,88,26198,26309,130.99,131.54500000000002,4
L,87,26294,26399,131.47,131.995,4
