time_aligned_sec,L_Acc_X_aligned,L_Acc_Y_aligned,L_Acc_Z_aligned,L_Gyro_Z_aligned,R_Acc_X_aligned,R_Acc_Y_aligned,R_Acc_Z_aligned,R_Gyro_Z_aligned,T_Acc_X_aligned,T_Acc_Y_aligned,T_Acc_Z_aligned,T_Gyro_X_aligned,T_Gyro_Y_aligned,T_Gyro_Z_aligned
0.0,3.353,8.814,-6.993,5.865,-3.114,9.149,7.425,11.73,-2.876,9.203,-6.902,5.865,35.191,5.865
0.005,3.497,8.957,-7.425,11.73,-3.161,9.245,7.904,11.73,-2.876,9.347,-7.334,5.865,41.056,11.73
0.01,3.88,9.197,-7.856,11.73,-3.401,9.436,8.287,11.73,-2.876,9.347,-7.765,5.865,41.056,11.73
0.015,4.215,9.436,-8.239,11.73,-3.545,9.628,8.67,17.595,-3.02,9.491,-8.197,5.865,41.056,11.73
0.02,4.263,9.628,-8.574,11.73,-3.593,9.676,9.053,11.73,-3.02,9.635,-8.628,0.0,46.921,11.73
0.025,4.311,9.867,-9.005,11.73,-3.545,9.484,9.436,17.595,-3.02,9.635,-8.916,5.865,52.786,11.73
0.03,4.551,9.915,-9.436,11.73,-3.545,9.293,9.915,17.595,-2.876,9.059,-9.347,5.865,58.651,11.73
0.035,4.838,9.915,-9.772,17.595,-3.736,9.245,10.251,17.595,-2.732,8.628,-9.778,5.865,64.516,17.595
0.04,4.934,9.628,-10.203,23.46,-3.736,9.149,10.634,23.46,-2.732,8.484,-10.21,5.865,76.246,17.595
0.045,5.317,9.628,-10.299,29.326,-3.976,9.197,10.73,29.326,-2.588,8.628,-10.497,23.46,82.111,23.46
0.05,5.365,9.532,-10.251,29.326,-3.976,9.293,10.634,35.191,-2.732,8.772,-10.641,29.326,93.842,29.326
0.055,5.03,9.484,-10.251,35.191,-3.736,9.628,10.634,35.191,-2.732,9.059,-10.497,41.056,111.437,29.326
