Leg,Cycle,IC_Index,FO_Index,IC_Time,FO_Time,Trial_ID
L,35,9626,,48.13,,12
R,36,9720,,48.6,,12
L,37,9812,,49.06,,12
R,38,9907,,49.535000000000004,,12
L,39,10003,,50.015,,12
R,40,10103,,50.515,,12
L,41,10195,,50.975,,12
R,42,10289,,51.445,,12
L,43,10378,,51.89,,12
R,44,10473,,52.365,,12
L,45,10565,,52.825,,12
R,46,10657,,53.285000000000004,,12
L,47,10749,,53.745000000000005,,12
R,48,10842,,54.21,,12
L,49,10938,,54.69,,12
R,50,11037,,55.185,,12
L,51,11119,,55.595,,12
R,52,11213,,56.065,,12
L,53,11317,,56.585,,12
R,54,11410,,57.050000000000004,,12
L,55,11502,,57.51,,12
R,56,11593,,57.965,,12
L,57,11685,,58.425000000000004,,12
R,58,11778,,58.89,,12
L,59,11871,,59.355000000000004,,12
R,60,11946,,59.730000000000004,,12
L,61,12050,,60.25,,12
L,75,14431,,72.155,,13
R,76,14537,,72.685,,13
R,77,14629,,73.145,,13
R,78,14720,,73.60000000000001,,13
L,79,14810,,74.05,,13
R,80,14899,,74.495,,13
R,81,14990,,74.95,,13
R,82,15081,,75.405,,13
L,83,15172,,75.86,,13
R,84,15266,,76.33,,13
L,85,15355,,76.775,,13
R,86,15448,,77.24,,13
L,87,15546,,77.73,,13
R,88,15644,,78.22,,13
L,89,15736,,78.68,,13
R,90,15830,,79.15,,13
L,91,15923,,79.615,,13
R,92,16016,,80.08,,13
L,93,16106,,80.53,,13
R,94,16205,,81.025,,13
L,95,16298,,81.49,,13
R,96,16391,,81.955,,13
L,97,16484,,82.42,,13
R,98,16574,,82.87,,13
L,99,16663,,83.315,,13
R,100,16754,,83.77,,13
R,114,19071,,95.355,,14
R,115,19150,,95.75,,14
L,116,19252,,96.26,,14
R,117,19345,,96.72500000000001,,14
L,118,19439,,97.19500000000001,,14
R,119,19534,,97.67,,14
L,120,19623,,98.11500000000001,,14
R,121,19718,,98.59,,14
L,122,19804,,99.02,,14
R,123,19899,,99.495,,14
R,124,19992,,99.96000000000001,,14
R,125,20087,,100.435,,14
L,126,20182,,100.91,,14
R,127,20275,,101.375,,14
L,128,20368,,101.84,,14
R,129,20457,,102.285,,14
L,130,20550,,102.75,,14
R,131,20644,,103.22,,14
L,132,20737,,103.685,,14
R,133,20833,,104.165,,14
L,134,20927,,104.635,,14
R,135,21028,,105.14,,14
L,136,21120,,105.60000000000001,,14
R,137,21217,,106.08500000000001,,14
L,138,21306,,106.53,,14
R,139,21403,,107.015,,14
L,140,21502,,107.51,,14
R,141,21603,,108.015,,14
L,155,23697,,118.485,,15
R,156,23790,,118.95,,15
L,157,23884,,119.42,,15
R,158,23977,,119.885,,15
R,159,24070,,120.35000000000001,,15
R,160,24161,,120.805,,15
L,161,24251,,121.255,,15
R,162,24346,,121.73,,15
L,163,24436,,122.18,,15
R,164,24530,,122.65,,15
L,165,24621,,123.105,,15
R,166,24714,,123.57000000000001,,15
L,167,24807,,124.035,,15
R,168,24900,,124.5,,15
L,169,24992,,124.96000000000001,,15
R,170,25072,,125.36,,15
L,171,25174,,125.87,,15
R,172,25270,,126.35000000000001,,15
L,173,25359,,126.795,,15
R,174,25449,,127.245,,15
R,175,25539,,127.69500000000001,,15
R,176,25633,,128.165,,15
L,177,25722,,128.61,,15
R,178,25819,,129.095,,15
L,179,25913,,129.565,,15
