Leg,Cycle,IC_Index,FO_Index,IC_Time,FO_Time,Trial_ID
L,12,10462,10580,52.31,52.9,1
R,10,10571,10684,52.855000000000004,53.42,1
L,13,10662,10789,53.31,53.945,1
R,11,10774,10886,53.870000000000005,54.43,1
L,14,10878,10998,54.39,54.99,1
R,12,10981,11095,54.905,55.475,1
L,15,11076,11201,55.38,56.005,1
R,13,11191,11302,55.955,56.51,1
L,16,11295,11417,56.475,57.085,1
R,14,11400,11515,57.0,57.575,1
L,17,11506,11619,57.53,58.095,1
R,15,11605,11719,58.025,58.595,1
L,18,11710,11829,58.550000000000004,59.145,1
R,16,11816,11936,59.08,59.68,1
L,19,11927,12040,59.635,60.2,1
R,17,12028,12142,60.14,60.71,1
L,20,12122,12248,60.61,61.24,1
R,18,12235,12347,61.175000000000004,61.735,1
L,21,12339,12453,61.695,62.265,1
R,19,12442,12550,62.21,62.75,1
L,22,12543,12664,62.715,63.32,1
R,20,12650,12768,63.25,63.84,1
L,23,12759,12877,63.795,64.385,1
R,21,12866,12981,64.33,64.905,1
L,24,12973,13090,64.865,65.45,1
R,22,13078,13190,65.39,65.95,1
L,25,13184,13297,65.92,66.485,1
R,23,13285,13396,66.425,66.98,1
L,26,13389,13507,66.94500000000001,67.535,1
R,24,13495,13609,67.475,68.045,1
L,27,13587,13725,67.935,68.625,1
R,25,13709,13810,68.545,69.05,1
R,29,15929,16041,79.645,80.205,2
L,34,16034,16148,80.17,80.74,2
R,30,16134,16249,80.67,81.245,2
L,35,16240,16356,81.2,81.78,2
R,31,16344,16452,81.72,82.26,2
L,36,16444,16560,82.22,82.8,2
R,32,16549,16659,82.745,83.295,2
L,37,16651,16766,83.255,83.83,2
R,33,16754,16866,83.77,84.33,2
L,38,16859,16974,84.295,84.87,2
R,34,16962,17075,84.81,85.375,2
L,39,17066,17179,85.33,85.895,2
R,35,17165,17280,85.825,86.4,2
L,40,17272,17386,86.36,86.93,2
R,36,17372,17485,86.86,87.425,2
L,41,17477,17592,87.385,87.96000000000001,2
R,37,17580,17685,87.9,88.425,2
L,42,17677,17796,88.385,88.98,2
R,38,17785,17900,88.925,89.5,2
L,43,17891,18010,89.455,90.05,2
R,39,17995,18111,89.97500000000001,90.555,2
L,44,18090,18219,90.45,91.095,2
R,40,18205,18319,91.025,91.595,2
L,45,18313,18430,91.565,92.15,2
R,41,18416,18534,92.08,92.67,2
L,46,18512,18642,92.56,93.21000000000001,2
R,42,18629,18750,93.145,93.75,2
L,47,18740,18859,93.7,94.295,2
R,43,18842,18966,94.21000000000001,94.83,2
L,48,18940,19070,94.7,95.35000000000001,2
R,44,19056,19185,95.28,95.925,2
L,54,21603,21719,108.015,108.595,3
R,49,21705,21825,108.525,109.125,3
L,55,21815,21934,109.075,109.67,3
R,50,21920,22038,109.60000000000001,110.19,3
L,56,22028,22148,110.14,110.74000000000001,3
R,51,22132,22246,110.66,111.23,3
L,57,22226,22358,111.13,111.79,3
R,52,22343,22456,111.715,112.28,3
L,58,22446,22565,112.23,112.825,3
R,53,22549,22665,112.745,113.325,3
L,59,22656,22770,113.28,113.85000000000001,3
R,54,22752,22867,113.76,114.33500000000001,3
L,60,22846,22971,114.23,114.855,3
R,55,22957,23069,114.785,115.345,3
L,61,23060,23176,115.3,115.88,3
R,56,23161,23274,115.805,116.37,3
L,62,23266,23376,116.33,116.88,3
R,57,23367,23476,116.83500000000001,117.38,3
L,63,23456,23583,117.28,117.915,3
R,58,23568,23683,117.84,118.415,3
L,64,23662,23787,118.31,118.935,3
R,59,23772,23890,118.86,119.45,3
L,65,23879,23992,119.395,119.96000000000001,3
R,60,23980,24097,119.9,120.485,3
L,66,24088,24202,120.44,121.01,3
R,61,24191,24304,120.955,121.52,3
L,67,24296,24411,121.48,122.055,3
R,62,24399,24518,121.995,122.59,3
L,68,24494,24625,122.47,123.125,3
R,63,24611,24726,123.055,123.63000000000001,3
L,69,24707,24835,123.535,124.175,3
R,64,24822,24943,124.11,124.715,3
L,70,24932,25053,124.66,125.265,3
L,75,28527,28646,142.635,143.23,4
R,70,28630,28748,143.15,143.74,4
L,76,28739,28859,143.695,144.29500000000002,4
R,71,28844,28961,144.22,144.805,4
L,77,28952,29068,144.76,145.34,4
R,72,29054,29170,145.27,145.85,4
L,78,29149,29279,145.745,146.395,4
R,73,29263,29382,146.315,146.91,4
L,79,29374,29491,146.87,147.455,4
R,74,29477,29593,147.385,147.965,4
L,80,29583,29699,147.915,148.495,4
R,75,29686,29804,148.43,149.02,4
L,81,29783,29912,148.915,149.56,4
R,76,29896,30014,149.48,150.07,4
L,82,29994,30123,149.97,150.615,4
R,77,30110,30228,150.55,151.14000000000001,4
L,83,30219,30334,151.095,151.67000000000002,4
R,78,30319,30437,151.595,152.185,4
L,84,30415,30546,152.07500000000002,152.73,4
R,79,30533,30647,152.665,153.235,4
L,85,30638,30756,153.19,153.78,4
R,80,30745,30861,153.725,154.305,4
L,86,30840,30969,154.20000000000002,154.845,4
R,81,30958,31075,154.79,155.375,4
L,87,31067,31184,155.335,155.92000000000002,4
R,82,31171,31287,155.855,156.435,4
L,88,31264,31395,156.32,156.975,4
R,83,31378,31498,156.89000000000001,157.49,4
L,89,31489,31605,157.445,158.025,4
R,84,31590,31707,157.95000000000002,158.535,4
L,90,31686,31815,158.43,159.07500000000002,4
R,85,31803,31923,159.01500000000001,159.615,4
