time_aligned_sec,L_Acc_X_aligned,L_Acc_Y_aligned,L_Acc_Z_aligned,L_Gyro_Z_aligned,R_Acc_X_aligned,R_Acc_Y_aligned,R_Acc_Z_aligned,R_Gyro_Z_aligned,T_Acc_X_aligned,T_Acc_Y_aligned,T_Acc_Z_aligned,T_Gyro_X_aligned,T_Gyro_Y_aligned,T_Gyro_Z_aligned
0.0,0.431,7.425,-6.323,-11.73,0.0,7.616,5.94,-5.865,0.575,7.621,5.752,5.865,5.865,5.865
0.005,0.431,7.377,-6.323,-5.865,-0.048,7.616,5.94,0.0,0.575,7.621,5.752,5.865,5.865,5.865
0.01,0.431,7.377,-6.323,-11.73,-0.096,7.616,5.94,0.0,0.719,7.621,5.752,5.865,5.865,5.865
0.015,0.479,7.377,-6.323,-5.865,-0.096,7.616,5.94,0.0,0.719,7.621,5.752,5.865,5.865,5.865
0.02,0.479,7.377,-6.323,-11.73,-0.096,7.568,5.94,0.0,0.719,7.621,5.752,5.865,5.865,5.865
0.025,0.479,7.377,-6.323,-11.73,-0.096,7.568,5.94,0.0,0.719,7.621,5.752,5.865,5.865,5.865
0.03,0.527,7.377,-6.323,-5.865,-0.144,7.568,5.94,0.0,0.719,7.621,5.752,5.865,5.865,5.865
0.035,0.479,7.425,-6.371,-5.865,-0.144,7.616,5.94,-5.865,0.719,7.621,5.752,5.865,5.865,5.865
0.04,0.527,7.472,-6.419,-5.865,-0.144,7.616,6.035,0.0,0.719,7.621,5.896,5.865,5.865,5.865
0.045,0.527,7.472,-6.467,-5.865,-0.144,7.712,6.083,0.0,0.719,7.621,5.896,5.865,5.865,5.865
0.05,0.527,7.472,-6.467,-5.865,-0.144,7.712,6.083,0.0,0.719,7.621,5.896,5.865,5.865,5.865
0.055,0.575,7.472,-6.467,-11.73,-0.144,7.664,6.083,0.0,0.863,7.621,5.896,5.865,5.865,5.865
0.06,0.527,7.52,-6.467,-5.865,-0.144,7.664,6.083,0.0,0.719,7.765,5.896,5.865,5.865,5.865
0.065,0.575,7.52,-6.514,-11.73,-0.192,7.712,6.131,0.0,0.719,7.621,5.896,5.865,5.865,5.865
0.07,0.671,7.568,-6.514,-5.865,-0.287,7.712,6.131,0.0,0.863,7.765,5.896,5.865,5.865,5.865
0.075,0.671,7.568,-6.562,-5.865,-0.335,7.76,6.179,0.0,0.863,7.765,5.896,5.865,5.865,5.865
0.08,0.623,7.568,-6.61,-5.865,-0.335,7.808,6.227,0.0,0.863,7.765,6.04,5.865,5.865,5.865
0.085,0.623,7.568,-6.61,-11.73,-0.287,7.808,6.227,0.0,0.863,7.765,6.04,5.865,5.865,5.865
0.09,0.623,7.568,-6.61,-11.73,-0.287,7.808,6.275,-5.865,0.863,7.765,6.04,5.865,5.865,5.865
0.095,0.623,7.568,-6.658,-11.73,-0.287,7.76,6.275,0.0,0.863,7.765,6.04,5.865,5.865,5.865
0.1,0.575,7.568,-6.706,-5.865,-0.24,7.76,6.323,0.0,0.863,7.765,6.183,5.865,5.865,5.865
0.105,0.623,7.52,-6.706,-5.865,-0.287,7.808,6.323,0.0,0.719,7.765,6.183,5.865,5.865,5.865
0.11,0.671,7.52,-6.706,-5.865,-0.335,7.808,6.323,0.0,0.719,7.621,6.04,5.865,5.865,5.865
0.115,0.623,7.52,-6.706,-5.865,-0.335,7.808,6.371,0.0,0.719,7.621,6.183,0.0,11.73,0.0
0.12,0.671,7.568,-6.658,-5.865,-0.335,7.808,6.323,0.0,0.719,7.621,6.183,0.0,11.73,0.0
0.125,0.671,7.568,-6.658,-5.865,-0.335,7.808,6.323,0.0,0.863,7.765,6.04,0.0,11.73,0.0
0.13,0.671,7.616,-6.658,-5.865,-0.335,7.856,6.275,0.0,0.863,7.765,6.04,0.0,17.595,0.0
0.135,0.623,7.664,-6.658,-5.865,-0.287,7.904,6.323,0.0,0.863,7.765,6.04,0.0,17.595,0.0
0.14,0.671,7.664,-6.706,-5.865,-0.287,7.951,6.323,0.0,0.863,7.765,6.04,0.0,17.595,0.0
0.145,0.671,7.616,-6.706,-5.865,-0.335,8.047,6.323,5.865,0.863,7.621,6.183,-5.865,17.595,0.0
0.15,0.671,7.568,-6.754,-0.0,-0.431,7.999,6.371,0.0,0.863,7.621,6.183,-5.865,17.595,0.0
0.155,0.671,7.52,-6.754,-0.0,-0.431,7.951,6.371,5.865,0.719,7.621,6.183,-5.865,17.595,0.0
0.16,0.623,7.52,-6.802,-0.0,-0.335,7.904,6.419,5.865,0.719,7.478,6.183,-11.73,17.595,-5.865
0.165,0.575,7.568,-6.802,-0.0,-0.287,7.904,6.467,5.865,0.719,7.621,6.183,-11.73,23.46,-5.865
0.17,0.623,7.568,-6.802,-0.0,-0.335,7.856,6.467,5.865,0.719,7.621,6.183,-17.595,23.46,-5.865
0.17500000000000002,0.623,7.568,-6.85,-0.0,-0.335,7.856,6.467,5.865,0.719,7.621,6.183,-17.595,23.46,-5.865
0.18,0.575,7.568,-6.898,5.865,-0.287,7.856,6.467,11.73,0.719,7.621,6.327,-23.46,23.46,-5.865
0.185,0.575,7.616,-6.898,5.865,-0.24,7.808,6.514,11.73,0.719,7.765,6.327,-23.46,29.326,-11.73
