Leg,Cycle,IC_Index,FO_Index,IC_Time,FO_Time,Trial_ID
L,10,18977,19114,94.885,95.57000000000001,1
R,15,19109,19216,95.545,96.08,1
L,11,19193,19328,95.965,96.64,1
R,16,19324,19438,96.62,97.19,1
L,12,19410,19545,97.05,97.72500000000001,1
R,17,19545,19640,97.72500000000001,98.2,1
L,13,19625,19759,98.125,98.795,1
R,18,19759,19866,98.795,99.33,1
L,14,19843,19968,99.215,99.84,1
R,19,19947,20066,99.735,100.33,1
L,15,20049,20185,100.245,100.925,1
R,20,20178,20285,100.89,101.425,1
L,16,20261,20392,101.305,101.96000000000001,1
R,21,20393,20486,101.965,102.43,1
L,17,20488,20603,102.44,103.015,1
R,22,20603,20715,103.015,103.575,1
L,18,20688,20821,103.44,104.105,1
R,23,20813,20929,104.065,104.645,1
L,19,20902,21034,104.51,105.17,1
R,24,21034,21148,105.17,105.74000000000001,1
L,20,21122,21250,105.61,106.25,1
R,25,21229,21352,106.145,106.76,1
L,21,21339,21466,106.69500000000001,107.33,1
R,26,21467,21566,107.33500000000001,107.83,1
L,22,21552,21684,107.76,108.42,1
R,27,21685,21788,108.425,108.94,1
L,23,21771,21899,108.855,109.495,1
R,28,21899,22002,109.495,110.01,1
L,24,21985,22131,109.925,110.655,1
L,29,24646,24769,123.23,123.845,2
R,35,24765,24875,123.825,124.375,2
L,30,24852,24974,124.26,124.87,2
R,36,24971,25073,124.855,125.36500000000001,2
L,31,25060,25182,125.3,125.91,2
R,37,25177,25289,125.885,126.44500000000001,2
L,32,25266,25397,126.33,126.985,2
R,38,25383,25496,126.915,127.48,2
L,33,25472,25596,127.36,127.98,2
R,39,25593,25696,127.965,128.48,2
L,34,25679,25821,128.395,129.105,2
R,40,25811,25918,129.055,129.59,2
L,35,25891,26015,129.455,130.075,2
R,41,26006,26108,130.03,130.54,2
L,36,26093,26217,130.465,131.085,2
R,42,26212,26318,131.06,131.59,2
L,37,26301,26432,131.505,132.16,2
R,43,26430,26546,132.15,132.73,2
L,38,26518,26649,132.59,133.245,2
R,44,26626,26752,133.13,133.76,2
L,39,26734,26881,133.67000000000002,134.405,2
R,45,26848,26972,134.24,134.86,2
L,40,26957,27095,134.785,135.475,2
R,46,27085,27180,135.425,135.9,2
L,41,27166,27302,135.83,136.51,2
R,47,27284,27394,136.42000000000002,136.97,2
L,42,27379,27505,136.895,137.525,2
R,48,27505,27608,137.525,138.04,2
R,61,34138,34180,170.69,170.9,3
L,55,34139,34180,170.695,170.9,3
L,56,34222,34272,171.11,171.36,3
