Leg,Cycle,IC_Index,FO_Index,IC_Time,FO_Time,Trial_ID
R,49,12430,,62.15,,22
L,50,12531,,62.655,,22
R,51,12628,,63.14,,22
L,52,12719,,63.595,,22
R,53,12813,,64.065,,22
L,54,12904,,64.52,,22
R,55,12996,,64.98,,22
L,56,13082,,65.41,,22
R,57,13180,,65.9,,22
L,58,13279,,66.395,,22
R,59,13369,,66.845,,22
L,60,13459,,67.295,,22
R,61,13545,,67.725,,22
L,62,13650,,68.25,,22
R,63,13742,,68.71000000000001,,22
L,64,13834,,69.17,,22
R,65,13926,,69.63,,22
R,83,16588,,82.94,,25
L,84,16683,,83.415,,25
R,85,16777,,83.885,,25
L,86,16867,,84.33500000000001,,25
R,87,16963,,84.815,,25
L,88,17055,,85.275,,25
R,89,17147,,85.735,,25
L,90,17237,,86.185,,25
R,91,17328,,86.64,,25
L,92,17419,,87.095,,25
R,93,17510,,87.55,,25
L,94,17605,,88.025,,25
R,95,17700,,88.5,,25
L,96,17791,,88.955,,25
R,97,17885,,89.425,,25
L,98,17979,,89.895,,25
R,99,18074,,90.37,,25
L,100,18166,,90.83,,25
L,115,21116,,105.58,,27
R,116,21217,,106.08500000000001,,27
L,117,21309,,106.545,,27
R,118,21404,,107.02,,27
L,119,21496,,107.48,,27
R,120,21591,,107.955,,27
L,121,21686,,108.43,,27
R,122,21784,,108.92,,27
L,123,21879,,109.395,,27
R,124,21973,,109.86500000000001,,27
L,125,22066,,110.33,,27
R,126,22144,,110.72,,27
L,127,22249,,111.245,,27
R,128,22342,,111.71000000000001,,27
L,129,22426,,112.13,,27
R,130,22531,,112.655,,27
R,146,25353,,126.765,,29
L,147,25444,,127.22,,29
R,148,25536,,127.68,,29
L,149,25630,,128.15,,29
R,150,25725,,128.625,,29
L,151,25808,,129.04,,29
R,152,25913,,129.565,,29
L,153,26005,,130.025,,29
R,154,26094,,130.47,,29
L,155,26185,,130.925,,29
R,156,26274,,131.37,,29
L,157,26379,,131.895,,29
R,158,26474,,132.37,,29
L,159,26571,,132.855,,29
R,160,26661,,133.305,,29
