time_aligned_sec,L_Acc_X_aligned,L_Acc_Y_aligned,L_Acc_Z_aligned,L_Gyro_Z_aligned,R_Acc_X_aligned,R_Acc_Y_aligned,R_Acc_Z_aligned,R_Gyro_Z_aligned,T_Acc_X_aligned,T_Acc_Y_aligned,T_Acc_Z_aligned,T_Gyro_X_aligned,T_Gyro_Y_aligned,T_Gyro_Z_aligned
0.0,2.778,7.999,7.425,-11.73,-2.06,8.239,-7.041,-11.73,3.02,7.765,-7.478,58.651,23.46,11.73
0.005,2.874,8.143,7.377,-11.73,-2.251,8.43,-6.946,-17.595,3.02,7.909,-7.478,64.516,23.46,11.73
0.01,3.018,8.335,7.233,-17.595,-2.491,8.622,-6.706,-17.595,3.307,8.053,-7.334,70.381,23.46,17.595
0.015,3.209,8.526,6.993,-17.595,-2.635,8.766,-6.419,-17.595,3.451,8.197,-7.19,70.381,29.326,17.595
0.02,3.353,8.718,6.658,-23.46,-2.826,8.814,-6.035,-17.595,3.451,8.484,-6.902,76.246,29.326,23.46
0.025,3.497,8.862,6.323,-23.46,-2.97,8.766,-5.7,-17.595,3.595,8.628,-6.615,82.111,29.326,23.46
0.03,3.545,8.957,5.988,-17.595,-3.066,8.574,-5.413,-17.595,3.595,8.916,-6.183,82.111,29.326,23.46
0.035,3.64,8.957,5.652,-17.595,-3.066,8.335,-5.125,-11.73,3.739,9.059,-5.896,87.977,29.326,23.46
0.04,3.688,8.909,5.413,-11.73,-2.97,8.095,-4.934,-5.865,3.883,9.203,-5.608,87.977,35.191,17.595
0.045,3.593,8.766,5.269,-5.865,-2.97,7.904,-4.838,-5.865,3.883,9.203,-5.321,87.977,35.191,11.73
0.05,3.593,8.622,5.173,-5.865,-2.97,7.712,-4.742,0.0,3.883,9.059,-5.321,82.111,35.191,5.865
0.055,3.593,8.43,5.077,-0.0,-2.97,7.616,-4.598,5.865,3.739,9.059,-5.177,76.246,35.191,5.865
0.06,3.545,8.287,4.982,5.865,-2.922,7.568,-4.503,5.865,3.883,8.916,-5.033,70.381,35.191,0.0
0.065,3.449,8.143,4.838,5.865,-2.826,7.52,-4.359,11.73,3.739,8.628,-5.033,64.516,35.191,0.0
0.07,3.353,7.904,4.694,11.73,-2.778,7.52,-4.263,11.73,3.595,8.34,-4.889,64.516,35.191,-5.865
0.075,3.305,7.712,4.646,11.73,-2.682,7.52,-4.167,11.73,3.451,8.053,-4.745,58.651,35.191,-5.865
0.08,3.257,7.568,4.551,11.73,-2.635,7.472,-4.119,11.73,3.451,7.765,-4.602,52.786,35.191,-11.73
0.085,3.209,7.52,4.551,11.73,-2.587,7.425,-4.119,11.73,3.451,7.621,-4.602,52.786,41.056,-11.73
0.09,3.209,7.52,4.503,5.865,-2.443,7.425,-4.072,5.865,3.451,7.478,-4.458,58.651,41.056,-5.865
0.095,3.161,7.568,4.455,5.865,-2.395,7.425,-3.976,0.0,3.451,7.478,-4.458,58.651,41.056,0.0
0.1,3.114,7.664,4.359,-0.0,-2.395,7.425,-3.88,0.0,3.451,7.765,-4.458,64.516,41.056,0.0
0.105,3.161,7.808,4.215,-0.0,-2.443,7.377,-3.736,0.0,3.451,7.909,-4.314,64.516,41.056,0.0
0.11,3.161,7.904,4.119,-0.0,-2.443,7.377,-3.593,0.0,3.451,8.053,-4.17,64.516,46.921,5.865
