Leg,Cycle,IC_Index,FO_Index,IC_Time,FO_Time,Trial_ID
R,41,12926,,64.63,,14
L,42,13018,,65.09,,14
R,43,13110,,65.55,,14
L,44,13200,,66.0,,14
R,45,13292,,66.46000000000001,,14
L,46,13386,,66.93,,14
R,47,13482,,67.41,,14
L,48,13577,,67.885,,14
R,49,13675,,68.375,,14
L,50,13772,,68.86,,14
R,51,13869,,69.345,,14
L,52,13965,,69.825,,14
R,53,14060,,70.3,,14
L,54,14153,,70.765,,14
R,55,14250,,71.25,,14
L,56,14345,,71.72500000000001,,14
R,57,14442,,72.21000000000001,,14
L,58,14540,,72.7,,14
R,59,14638,,73.19,,14
L,60,14733,,73.665,,14
R,61,14831,,74.155,,14
L,62,14925,,74.625,,14
R,63,15022,,75.11,,14
L,64,15117,,75.58500000000001,,14
R,83,17844,,89.22,,18
L,84,17928,,89.64,,18
R,85,18030,,90.15,,18
L,86,18125,,90.625,,18
R,87,18215,,91.075,,18
L,88,18309,,91.545,,18
R,89,18398,,91.99,,18
L,90,18491,,92.455,,18
R,91,18580,,92.9,,18
L,92,18671,,93.355,,18
L,93,18764,,93.82000000000001,,18
R,94,18850,,94.25,,18
L,95,18952,,94.76,,18
R,96,19050,,95.25,,18
L,97,19140,,95.7,,18
L,98,19233,,96.165,,18
R,99,19322,,96.61,,18
L,100,19413,,97.065,,18
R,118,22963,,114.815,,22
L,119,23063,,115.315,,22
R,120,23159,,115.795,,22
L,121,23247,,116.235,,22
R,122,23340,,116.7,,22
L,123,23435,,117.175,,22
R,124,23531,,117.655,,22
L,125,23624,,118.12,,22
R,126,23720,,118.60000000000001,,22
L,127,23814,,119.07000000000001,,22
R,128,23911,,119.555,,22
L,129,24002,,120.01,,22
R,130,24081,,120.405,,22
L,131,24187,,120.935,,22
R,132,24273,,121.36500000000001,,22
L,133,24376,,121.88,,22
R,134,24473,,122.36500000000001,,22
L,135,24566,,122.83,,22
R,136,24663,,123.315,,22
L,137,24757,,123.785,,22
R,138,24845,,124.22500000000001,,22
L,139,24949,,124.745,,22
L,155,27537,,137.685,,25
R,156,27632,,138.16,,25
L,157,27727,,138.635,,25
R,158,27822,,139.11,,25
L,159,27917,,139.585,,25
R,160,28012,,140.06,,25
L,161,28108,,140.54,,25
R,162,28201,,141.005,,25
L,163,28294,,141.47,,25
R,164,28390,,141.95000000000002,,25
L,165,28483,,142.415,,25
L,166,28577,,142.885,,25
R,167,28672,,143.36,,25
L,168,28767,,143.835,,25
R,169,28861,,144.305,,25
L,170,28960,,144.8,,25
R,171,29054,,145.27,,25
L,172,29135,,145.675,,25
R,173,29241,,146.205,,25
