Leg,Cycle,IC_Index,FO_Index,IC_Time,FO_Time,Trial_ID
R,9,12762,12864,63.81,64.32000000000001,1
L,11,12860,12960,64.3,64.8,1
R,10,12954,13056,64.77,65.28,1
L,12,13051,13151,65.255,65.755,1
R,11,13144,13246,65.72,66.23,1
L,13,13240,13338,66.2,66.69,1
R,12,13334,13436,66.67,67.18,1
L,14,13435,13529,67.175,67.645,1
R,13,13525,13628,67.625,68.14,1
L,15,13628,13724,68.14,68.62,1
R,14,13719,13820,68.595,69.10000000000001,1
L,16,13822,13917,69.11,69.58500000000001,1
R,15,13913,14013,69.565,70.065,1
L,17,14013,14116,70.065,70.58,1
R,16,14106,14211,70.53,71.055,1
L,18,14210,14310,71.05,71.55,1
R,17,14302,14402,71.51,72.01,1
L,19,14403,14505,72.015,72.525,1
R,18,14495,14599,72.47500000000001,72.995,1
L,20,14595,14699,72.97500000000001,73.495,1
R,19,14692,14795,73.46000000000001,73.97500000000001,1
L,21,14791,14890,73.955,74.45,1
R,20,14884,14987,74.42,74.935,1
L,22,14984,15083,74.92,75.415,1
R,21,15076,15187,75.38,75.935,1
L,23,15184,15284,75.92,76.42,1
R,22,15275,15385,76.375,76.925,1
R,27,17248,17344,86.24,86.72,2
L,28,17342,17438,86.71000000000001,87.19,2
R,28,17429,17526,87.145,87.63,2
L,29,17525,17621,87.625,88.105,2
R,29,17616,17712,88.08,88.56,2
L,30,17709,17805,88.545,89.025,2
R,30,17798,17896,88.99,89.48,2
L,31,17897,17992,89.485,89.96000000000001,2
R,31,17987,18089,89.935,90.44500000000001,2
L,32,18088,18188,90.44,90.94,2
R,32,18182,18286,90.91,91.43,2
L,33,18281,18383,91.405,91.915,2
R,33,18378,18480,91.89,92.4,2
L,34,18477,18576,92.385,92.88,2
R,34,18574,18674,92.87,93.37,2
L,35,18670,18771,93.35000000000001,93.855,2
R,35,18767,18873,93.83500000000001,94.365,2
L,36,18867,18966,94.33500000000001,94.83,2
R,36,18959,19064,94.795,95.32000000000001,2
L,37,19061,19166,95.305,95.83,2
R,37,19160,19265,95.8,96.325,2
L,38,19260,19361,96.3,96.805,2
R,38,19354,19456,96.77,97.28,2
L,39,19451,19549,97.255,97.745,2
R,39,19541,19645,97.705,98.22500000000001,2
L,40,19637,19739,98.185,98.69500000000001,2
L,44,22090,22184,110.45,110.92,3
R,45,22175,22274,110.875,111.37,3
L,45,22271,22369,111.355,111.845,3
R,46,22361,22464,111.805,112.32000000000001,3
L,46,22459,22554,112.295,112.77,3
R,47,22550,22651,112.75,113.255,3
L,47,22646,22743,113.23,113.715,3
R,48,22740,22837,113.7,114.185,3
L,48,22835,22931,114.175,114.655,3
R,49,22926,23027,114.63,115.135,3
L,49,23022,23120,115.11,115.60000000000001,3
R,50,23115,23220,115.575,116.10000000000001,3
L,50,23215,23313,116.075,116.565,3
R,51,23309,23413,116.545,117.065,3
L,51,23410,23504,117.05,117.52,3
R,52,23502,23604,117.51,118.02,3
L,52,23602,23704,118.01,118.52,3
R,53,23697,23797,118.485,118.985,3
L,53,23792,23895,118.96000000000001,119.47500000000001,3
R,54,23888,23989,119.44,119.94500000000001,3
L,54,23985,24087,119.925,120.435,3
R,55,24079,24182,120.395,120.91,3
L,55,24177,24277,120.885,121.385,3
R,56,24270,24371,121.35000000000001,121.855,3
L,56,24364,24464,121.82000000000001,122.32000000000001,3
R,57,24458,24562,122.29,122.81,3
L,57,24557,24655,122.785,123.275,3
R,58,24648,24755,123.24000000000001,123.775,3
L,61,26777,26872,133.885,134.36,4
R,64,26867,26969,134.335,134.845,4
L,62,26965,27060,134.825,135.3,4
R,65,27054,27148,135.27,135.74,4
L,63,27144,27233,135.72,136.165,4
R,66,27232,27333,136.16,136.665,4
L,64,27329,27427,136.645,137.135,4
R,67,27425,27522,137.125,137.61,4
L,65,27522,27616,137.61,138.08,4
R,68,27611,27709,138.055,138.54500000000002,4
L,66,27707,27805,138.535,139.025,4
R,69,27800,27898,139.0,139.49,4
L,67,27894,27990,139.47,139.95000000000002,4
R,70,27986,28090,139.93,140.45000000000002,4
L,68,28084,28182,140.42000000000002,140.91,4
R,71,28179,28281,140.895,141.405,4
L,69,28274,28375,141.37,141.875,4
R,72,28373,28472,141.865,142.36,4
L,70,28467,28565,142.335,142.82500000000002,4
R,73,28562,28663,142.81,143.315,4
L,71,28660,28760,143.3,143.8,4
R,74,28755,28853,143.775,144.26500000000001,4
L,72,28849,28949,144.245,144.745,4
R,75,28942,29044,144.71,145.22,4
L,73,29039,29143,145.195,145.715,4
R,76,29137,29240,145.685,146.20000000000002,4
