time_aligned_sec,L_Acc_X_aligned,L_Acc_Y_aligned,L_Acc_Z_aligned,L_Gyro_Z_aligned,R_Acc_X_aligned,R_Acc_Y_aligned,R_Acc_Z_aligned,R_Gyro_Z_aligned,T_Acc_X_aligned,T_Acc_Y_aligned,T_Acc_Z_aligned,T_Gyro_X_aligned,T_Gyro_Y_aligned,T_Gyro_Z_aligned
0.0,2.06,7.856,8.526,11.73,-1.677,7.951,-8.143,11.73,2.013,8.053,-8.772,58.651,52.786,-5.865
0.005,2.012,7.664,8.383,11.73,-1.82,7.76,-8.095,11.73,2.013,7.765,-8.484,64.516,58.651,-11.73
0.01,2.203,7.425,8.383,5.865,-1.964,7.664,-8.095,5.865,1.869,7.621,-8.34,64.516,58.651,-5.865
0.015,2.203,7.377,8.383,5.865,-1.868,7.808,-8.143,5.865,2.013,7.334,-8.34,70.381,58.651,-5.865
0.02,2.156,7.52,8.43,-0.0,-1.916,7.951,-8.239,0.0,2.157,7.19,-8.34,76.246,64.516,-5.865
0.025,2.203,7.664,8.478,-5.865,-1.916,8.095,-8.239,0.0,2.013,7.19,-8.484,76.246,64.516,0.0
0.03,2.156,7.616,8.383,-5.865,-1.964,8.047,-8.095,-5.865,2.013,7.334,-8.484,82.111,64.516,5.865
0.035,2.156,7.425,8.287,-11.73,-2.012,7.76,-8.095,-11.73,1.869,7.19,-8.34,87.977,64.516,5.865
0.04,2.251,7.329,8.43,-11.73,-2.012,7.616,-8.43,-11.73,2.013,7.046,-8.197,93.842,64.516,11.73
0.045,2.203,7.52,8.862,-17.595,-1.772,7.712,-8.766,-17.595,2.013,7.046,-8.34,99.707,64.516,17.595
0.05,1.964,7.712,9.101,-23.46,-1.341,7.856,-9.005,-23.46,2.013,7.478,-8.772,111.437,64.516,23.46
0.055,1.772,7.951,9.293,-29.326,-1.054,8.095,-9.101,-29.326,1.869,7.765,-9.059,111.437,64.516,23.46
0.06,1.868,8.191,9.436,-29.326,-1.006,8.335,-9.245,-23.46,1.869,8.053,-9.203,117.302,70.381,29.326
0.065,1.772,8.383,9.532,-29.326,-1.102,8.191,-9.293,-23.46,2.157,8.197,-9.347,117.302,70.381,29.326
0.07,1.772,8.478,9.484,-29.326,-1.245,7.951,-9.293,-23.46,1.869,8.484,-9.491,117.302,76.246,29.326
0.075,1.724,8.383,9.341,-23.46,-1.245,7.616,-9.101,-17.595,1.869,8.772,-9.347,123.167,82.111,29.326
0.08,1.677,8.239,9.149,-23.46,-1.198,7.52,-8.862,-17.595,1.582,8.916,-9.203,123.167,87.977,29.326
0.085,1.677,8.047,8.909,-23.46,-1.293,7.281,-8.574,-17.595,1.582,8.916,-9.059,117.302,87.977,23.46
0.09,1.724,7.808,8.574,-23.46,-1.437,7.041,-8.239,-17.595,1.582,8.628,-8.772,111.437,93.842,23.46
0.095,1.772,7.664,8.239,-17.595,-1.629,7.041,-7.904,-11.73,1.582,8.34,-8.484,105.572,93.842,23.46
0.1,1.916,7.568,7.999,-17.595,-1.772,6.993,-7.712,-11.73,1.582,8.197,-8.197,99.707,93.842,23.46
0.105,2.012,7.472,7.808,-17.595,-1.868,7.041,-7.52,-11.73,1.726,8.053,-7.909,99.707,93.842,17.595
0.11,2.06,7.472,7.664,-17.595,-1.868,7.425,-7.425,-11.73,1.726,7.909,-7.765,93.842,93.842,17.595
