Leg,Cycle,IC_Index,FO_Index,IC_Time,FO_Time,Trial_ID
L,43,12848,,64.24,,17
R,44,12935,,64.675,,17
L,45,13042,,65.21000000000001,,17
R,46,13135,,65.675,,17
L,47,13231,,66.155,,17
R,48,13315,,66.575,,17
L,49,13424,,67.12,,17
R,50,13508,,67.54,,17
L,51,13616,,68.08,,17
L,52,13709,,68.545,,17
R,53,13810,,69.05,,17
L,54,13903,,69.515,,17
R,55,14002,,70.01,,17
L,56,14097,,70.485,,17
L,57,14199,,70.995,,17
R,58,14293,,71.465,,17
L,59,14393,,71.965,,17
R,60,14486,,72.43,,17
L,61,14585,,72.925,,17
R,62,14681,,73.405,,17
L,63,14781,,73.905,,17
R,64,14875,,74.375,,17
L,65,14974,,74.87,,17
R,66,15068,,75.34,,17
L,67,15172,,75.86,,17
R,68,15266,,76.33,,17
L,82,17331,,86.655,,18
R,83,17415,,87.075,,18
L,84,17515,,87.575,,18
R,85,17606,,88.03,,18
L,86,17699,,88.495,,18
R,87,17781,,88.905,,18
L,88,17886,,89.43,,18
R,89,17976,,89.88,,18
L,90,18076,,90.38,,18
L,91,18171,,90.855,,18
L,92,18272,,91.36,,18
R,93,18367,,91.83500000000001,,18
L,94,18465,,92.325,,18
R,95,18563,,92.815,,18
L,96,18660,,93.3,,18
R,97,18747,,93.735,,18
L,98,18858,,94.29,,18
R,99,18945,,94.72500000000001,,18
L,100,19050,,95.25,,18
R,101,19150,,95.75,,18
L,102,19249,,96.245,,18
R,103,19343,,96.715,,18
L,104,19440,,97.2,,18
R,105,19532,,97.66,,18
L,119,21887,,109.435,,19
R,120,21981,,109.905,,19
L,121,22081,,110.405,,19
R,122,22165,,110.825,,19
L,123,22260,,111.3,,19
R,124,22352,,111.76,,19
L,125,22448,,112.24000000000001,,19
R,126,22541,,112.705,,19
L,127,22636,,113.18,,19
R,128,22729,,113.645,,19
L,129,22824,,114.12,,19
R,130,22916,,114.58,,19
L,131,23012,,115.06,,19
R,132,23096,,115.48,,19
L,133,23206,,116.03,,19
R,134,23300,,116.5,,19
L,135,23400,,117.0,,19
R,136,23491,,117.455,,19
L,137,23592,,117.96000000000001,,19
R,138,23686,,118.43,,19
L,139,23781,,118.905,,19
R,140,23878,,119.39,,19
L,141,23975,,119.875,,19
R,142,24070,,120.35000000000001,,19
L,143,24167,,120.83500000000001,,19
R,144,24259,,121.295,,19
R,162,26857,,134.285,,22
L,163,26956,,134.78,,22
R,164,27045,,135.225,,22
L,165,27134,,135.67000000000002,,22
R,166,27221,,136.105,,22
L,167,27319,,136.595,,22
R,168,27414,,137.07,,22
L,169,27511,,137.555,,22
R,170,27602,,138.01,,22
L,171,27697,,138.485,,22
R,172,27782,,138.91,,22
L,173,27884,,139.42000000000002,,22
R,174,27977,,139.885,,22
L,175,28075,,140.375,,22
R,176,28170,,140.85,,22
L,177,28264,,141.32,,22
R,178,28353,,141.76500000000001,,22
L,179,28457,,142.285,,22
R,180,28552,,142.76,,22
L,181,28649,,143.245,,22
R,182,28745,,143.725,,22
