time_aligned_sec,L_Acc_X_aligned,L_Acc_Y_aligned,L_Acc_Z_aligned,L_Gyro_Z_aligned,R_Acc_X_aligned,R_Acc_Y_aligned,R_Acc_Z_aligned,R_Gyro_Z_aligned,T_Acc_X_aligned,T_Acc_Y_aligned,T_Acc_Z_aligned,T_Gyro_X_aligned,T_Gyro_Y_aligned,T_Gyro_Z_aligned
0.0,-0.096,9.915,1.533,-17.595,1.82,10.107,-1.772,-11.73,2.013,10.354,2.157,-29.326,0.0,-17.595
0.005,-0.096,10.059,1.485,-17.595,1.82,10.346,-1.724,-17.595,2.013,10.641,2.157,-29.326,0.0,-23.46
0.01,-0.048,10.155,1.485,-23.46,1.772,10.442,-1.724,-23.46,2.013,10.785,2.013,-29.326,0.0,-29.326
0.015,-0.048,10.203,1.437,-29.326,1.724,10.49,-1.677,-29.326,2.013,10.785,2.013,-23.46,0.0,-35.191
0.02,0.0,10.203,1.389,-29.326,1.677,10.538,-1.581,-29.326,1.869,10.929,2.013,-23.46,-5.865,-35.191
0.025,0.048,10.155,1.341,-29.326,1.629,10.49,-1.581,-35.191,1.726,10.785,2.013,-17.595,-5.865,-35.191
0.03,0.096,10.059,1.341,-29.326,1.533,10.442,-1.581,-35.191,1.582,10.785,2.013,-17.595,-11.73,-35.191
0.035,0.144,9.963,1.341,-29.326,1.437,10.346,-1.581,-35.191,1.438,10.641,2.013,-11.73,-11.73,-35.191
0.04,0.144,9.867,1.245,-29.326,1.389,10.203,-1.533,-29.326,1.438,10.354,1.869,-5.865,-11.73,-35.191
0.045,0.192,9.772,1.198,-29.326,1.341,10.059,-1.437,-29.326,1.294,10.21,1.869,-5.865,-11.73,-35.191
0.05,0.192,9.676,1.15,-23.46,1.293,9.915,-1.389,-29.326,1.15,10.066,1.869,-5.865,-5.865,-23.46
0.055,0.192,9.628,1.15,-17.595,1.245,9.82,-1.389,-17.595,1.15,9.922,1.869,-5.865,-5.865,-23.46
0.06,0.192,9.58,1.15,-17.595,1.198,9.676,-1.389,-17.595,1.007,9.778,1.869,-5.865,-5.865,-17.595
0.065,0.24,9.58,1.15,-11.73,1.15,9.58,-1.437,-11.73,1.007,9.635,1.869,-5.865,-5.865,-11.73
0.07,0.24,9.532,1.15,-5.865,1.15,9.58,-1.389,-5.865,0.863,9.491,1.869,-5.865,0.0,-5.865
0.075,0.24,9.58,1.102,-0.0,1.102,9.532,-1.341,0.0,0.863,9.347,1.869,-11.73,0.0,0.0
0.08,0.192,9.58,1.054,5.865,1.15,9.484,-1.341,5.865,0.863,9.347,1.726,-11.73,5.865,5.865
0.085,0.144,9.532,1.006,5.865,1.198,9.436,-1.245,5.865,1.007,9.203,1.726,-17.595,5.865,5.865
0.09,0.048,9.532,0.958,11.73,1.293,9.436,-1.245,11.73,1.15,9.347,1.726,-17.595,11.73,11.73
0.095,-0.096,9.58,0.91,11.73,1.437,9.532,-1.198,17.595,1.294,9.491,1.726,-23.46,17.595,17.595
0.1,-0.192,9.724,0.862,17.595,1.629,9.628,-1.102,17.595,1.582,9.491,1.582,-29.326,17.595,17.595
0.105,-0.24,9.772,0.766,17.595,1.772,9.724,-1.006,23.46,1.869,9.635,1.294,-29.326,17.595,17.595
0.11,-0.335,9.772,0.575,17.595,1.916,9.724,-0.814,23.46,2.013,9.635,1.15,-35.191,17.595,17.595
0.115,-0.383,9.724,0.479,23.46,1.964,9.724,-0.671,17.595,2.157,9.635,1.007,-35.191,17.595,17.595
0.12,-0.431,9.676,0.335,17.595,2.012,9.676,-0.575,23.46,2.157,9.491,0.863,-41.056,17.595,23.46
0.125,-0.431,9.628,0.24,11.73,2.108,9.724,-0.479,23.46,2.301,9.635,0.863,-41.056,17.595,23.46
0.13,-0.335,9.628,0.096,11.73,2.156,9.724,-0.335,17.595,2.301,9.635,0.575,-46.921,11.73,23.46
0.135,-0.335,9.628,0.0,11.73,2.06,9.628,-0.192,17.595,2.301,9.491,0.575,-46.921,11.73,17.595
0.14,-0.287,9.58,-0.096,5.865,2.012,9.58,-0.096,11.73,2.157,9.491,0.431,-46.921,5.865,11.73
0.145,-0.24,9.58,-0.144,5.865,1.916,9.58,-0.048,11.73,2.013,9.347,0.431,-52.786,5.865,5.865
0.15,-0.192,9.532,-0.192,-0.0,1.868,9.532,0.0,5.865,2.013,9.347,0.431,-52.786,5.865,5.865
0.155,-0.144,9.58,-0.24,-0.0,1.82,9.532,0.048,0.0,2.013,9.491,0.288,-58.651,0.0,0.0
0.16,-0.144,9.676,-0.24,-5.865,1.82,9.724,0.048,-5.865,2.013,9.778,0.288,-58.651,0.0,-5.865
