Leg,Cycle,IC_Index,FO_Index,IC_Time,FO_Time,Trial_ID
L,42,10606,,53.03,,17
R,43,10683,,53.415,,17
L,44,10777,,53.885,,17
R,45,10866,,54.33,,17
L,46,10955,,54.775,,17
R,47,11044,,55.22,,17
R,48,11135,,55.675000000000004,,17
R,49,11220,,56.1,,17
R,50,11316,,56.58,,17
R,51,11399,,56.995000000000005,,17
R,52,11492,,57.46,,17
R,53,11572,,57.86,,17
L,54,11666,,58.33,,17
L,55,11757,,58.785000000000004,,17
R,56,11846,,59.230000000000004,,17
R,57,11927,,59.635,,17
L,58,12024,,60.120000000000005,,17
R,59,12112,,60.56,,17
L,60,12201,,61.005,,17
R,61,12292,,61.46,,17
L,62,12381,,61.905,,17
R,63,12463,,62.315000000000005,,17
L,64,12561,,62.805,,17
R,79,15076,,75.38,,19
L,80,15167,,75.83500000000001,,19
R,81,15256,,76.28,,19
L,82,15344,,76.72,,19
R,83,15436,,77.18,,19
L,84,15524,,77.62,,19
R,85,15605,,78.025,,19
L,86,15705,,78.525,,19
R,87,15788,,78.94,,19
L,88,15888,,79.44,,19
R,89,15977,,79.885,,19
L,90,16075,,80.375,,19
R,91,16162,,80.81,,19
L,92,16263,,81.315,,19
R,93,16346,,81.73,,19
L,94,16447,,82.235,,19
R,95,16534,,82.67,,19
L,96,16632,,83.16,,19
R,97,16719,,83.595,,19
L,98,16816,,84.08,,19
R,99,16910,,84.55,,19
L,100,17001,,85.005,,19
R,101,17087,,85.435,,19
L,102,17186,,85.93,,19
L,122,19438,,97.19,,23
R,123,19528,,97.64,,23
L,124,19624,,98.12,,23
R,125,19716,,98.58,,23
L,126,19813,,99.065,,23
R,127,19906,,99.53,,23
L,128,19999,,99.995,,23
R,129,20082,,100.41,,23
L,130,20182,,100.91,,23
R,131,20263,,101.315,,23
L,132,20364,,101.82000000000001,,23
R,133,20450,,102.25,,23
L,134,20550,,102.75,,23
R,135,20644,,103.22,,23
L,136,20737,,103.685,,23
R,137,20831,,104.155,,23
L,138,20924,,104.62,,23
R,139,21011,,105.055,,23
L,140,21114,,105.57000000000001,,23
R,156,23249,,116.245,,26
L,157,23345,,116.72500000000001,,26
R,158,23429,,117.145,,26
L,159,23526,,117.63,,26
R,160,23613,,118.065,,26
L,161,23710,,118.55,,26
R,162,23791,,118.955,,26
L,163,23893,,119.465,,26
R,164,23980,,119.9,,26
L,165,24074,,120.37,,26
R,166,24163,,120.815,,26
L,167,24258,,121.29,,26
R,168,24343,,121.715,,26
L,169,24439,,122.19500000000001,,26
R,170,24522,,122.61,,26
L,171,24618,,123.09,,26
L,172,24710,,123.55,,26
L,173,24802,,124.01,,26
