time_aligned_sec,L_Acc_X_aligned,L_Acc_Y_aligned,L_Acc_Z_aligned,L_Gyro_Z_aligned,R_Acc_X_aligned,R_Acc_Y_aligned,R_Acc_Z_aligned,R_Gyro_Z_aligned,T_Acc_X_aligned,T_Acc_Y_aligned,T_Acc_Z_aligned,T_Gyro_X_aligned,T_Gyro_Y_aligned,T_Gyro_Z_aligned
0.0,-1.964,4.215,-8.143,-0.0,1.964,4.646,8.526,5.865,2.013,4.889,-8.628,35.191,11.73,0.0
0.005,-1.868,4.311,-8.047,5.865,1.916,4.694,8.43,5.865,2.013,4.889,-8.484,41.056,11.73,0.0
0.01,-1.868,4.407,-8.047,5.865,1.868,4.742,8.43,5.865,2.013,4.889,-8.484,41.056,11.73,5.865
0.015,-1.868,4.598,-8.047,5.865,1.916,4.838,8.43,5.865,2.013,4.889,-8.484,41.056,11.73,5.865
0.02,-1.772,4.79,-8.047,-0.0,1.916,4.982,8.43,5.865,2.157,4.889,-8.484,41.056,11.73,5.865
0.025,-1.772,4.934,-8.047,5.865,1.868,5.125,8.43,5.865,2.013,5.033,-8.484,41.056,11.73,0.0
0.03,-1.772,4.886,-8.047,5.865,1.868,5.221,8.383,5.865,2.013,5.177,-8.484,41.056,11.73,0.0
0.035,-1.772,4.886,-8.047,-0.0,1.82,5.269,8.383,0.0,2.013,5.321,-8.484,41.056,5.865,5.865
0.04,-1.629,4.934,-8.047,-0.0,1.677,5.269,8.383,5.865,1.869,5.321,-8.484,41.056,5.865,0.0
0.045,-1.629,5.03,-8.095,-0.0,1.629,5.269,8.383,0.0,1.726,5.177,-8.484,41.056,5.865,0.0
0.05,-1.629,5.03,-8.191,-0.0,1.629,5.269,8.478,0.0,1.726,5.177,-8.628,41.056,5.865,0.0
0.055,-1.629,5.077,-8.287,-0.0,1.581,5.269,8.622,0.0,1.726,5.177,-8.628,41.056,5.865,0.0
0.06,-1.581,5.03,-8.383,-0.0,1.581,5.269,8.67,0.0,1.582,5.177,-8.772,41.056,5.865,0.0
0.065,-1.677,4.934,-8.43,-5.865,1.581,5.221,8.766,0.0,1.582,5.177,-8.916,41.056,5.865,-5.865
0.07,-1.629,4.838,-8.478,-5.865,1.581,5.221,8.766,-5.865,1.582,5.177,-8.916,41.056,5.865,-5.865
0.075,-1.677,4.742,-8.43,-5.865,1.629,5.173,8.814,-5.865,1.726,5.177,-8.916,41.056,5.865,-5.865
0.08,-1.724,4.646,-8.383,-5.865,1.629,5.125,8.766,-5.865,1.582,5.177,-8.916,41.056,5.865,-5.865
0.085,-1.677,4.455,-8.383,-0.0,1.629,5.03,8.718,-5.865,1.582,5.177,-8.916,41.056,5.865,-5.865
0.09,-1.724,4.263,-8.335,-0.0,1.629,4.934,8.766,-5.865,1.726,5.177,-8.772,41.056,11.73,-5.865
0.095,-1.677,4.311,-8.335,-0.0,1.581,4.886,8.67,0.0,1.438,5.177,-8.772,46.921,11.73,0.0
0.1,-1.772,4.359,-8.383,-0.0,1.677,4.886,8.718,0.0,1.582,5.177,-8.772,52.786,11.73,0.0
0.105,-1.724,4.503,-8.43,5.865,1.677,4.934,8.766,5.865,1.582,5.177,-8.916,52.786,17.595,0.0
0.11,-1.772,4.646,-8.478,5.865,1.677,5.03,8.814,5.865,1.582,5.177,-8.916,58.651,17.595,5.865
0.115,-1.724,4.838,-8.478,5.865,1.629,5.221,8.814,11.73,1.582,5.321,-8.916,64.516,17.595,5.865
0.12,-1.724,5.03,-8.574,11.73,1.533,5.317,8.862,11.73,1.438,5.464,-9.059,64.516,23.46,11.73
0.125,-1.82,5.221,-8.526,11.73,1.629,5.413,8.909,11.73,1.582,5.464,-9.059,70.381,23.46,11.73
0.13,-1.724,5.413,-8.622,11.73,1.677,5.556,8.909,11.73,1.582,5.464,-9.059,70.381,23.46,11.73
0.135,-1.772,5.413,-8.478,11.73,1.724,5.556,8.909,11.73,1.726,5.321,-9.059,64.516,29.326,11.73
0.14,-1.724,5.7,-8.383,11.73,1.629,5.748,8.814,11.73,1.582,5.464,-8.916,64.516,29.326,11.73
0.145,-1.868,5.7,-8.287,11.73,1.724,5.844,8.67,11.73,1.726,5.608,-8.772,64.516,35.191,5.865
0.15,-1.724,5.7,-8.287,11.73,1.772,5.892,8.622,11.73,1.726,5.752,-8.772,58.651,35.191,11.73
0.155,-1.724,5.796,-8.191,11.73,1.629,5.892,8.574,11.73,1.726,5.752,-8.772,58.651,35.191,11.73
0.16,-1.82,5.748,-8.095,5.865,1.724,5.94,8.478,5.865,1.726,5.752,-8.628,52.786,35.191,5.865
0.165,-1.724,5.652,-8.095,5.865,1.677,5.94,8.43,5.865,1.726,5.752,-8.484,52.786,35.191,5.865
0.17,-1.82,5.604,-7.999,5.865,1.724,5.892,8.383,5.865,1.726,5.896,-8.484,52.786,35.191,5.865
0.17500000000000002,-1.82,5.461,-7.856,5.865,1.772,5.844,8.287,5.865,1.726,5.896,-8.34,46.921,35.191,5.865
0.18,-1.772,5.317,-7.808,5.865,1.724,5.796,8.191,5.865,1.726,5.896,-8.34,46.921,41.056,5.865
0.185,-1.772,5.221,-7.76,5.865,1.677,5.7,8.143,5.865,1.726,5.752,-8.34,46.921,41.056,5.865
0.19,-1.724,5.269,-7.712,5.865,1.677,5.652,8.095,5.865,1.582,5.752,-8.197,46.921,41.056,5.865
0.195,-1.772,5.365,-7.712,5.865,1.677,5.652,8.047,5.865,1.726,5.752,-8.197,52.786,41.056,5.865
0.2,-1.82,5.556,-7.664,5.865,1.772,5.796,8.047,5.865,1.726,5.752,-8.197,52.786,41.056,5.865
0.20500000000000002,-1.82,5.796,-7.616,5.865,1.772,5.988,7.999,11.73,1.726,5.896,-8.197,52.786,46.921,5.865
0.21,-1.868,5.988,-7.425,11.73,1.82,6.227,7.904,11.73,1.869,6.183,-8.053,52.786,46.921,11.73
0.215,-1.868,6.179,-7.281,11.73,1.772,6.467,7.712,11.73,1.869,6.471,-7.909,52.786,46.921,11.73
0.22,-1.916,6.371,-7.041,11.73,1.82,6.706,7.472,11.73,1.869,6.759,-7.621,52.786,46.921,11.73
0.225,-1.916,6.754,-6.706,5.865,1.916,7.041,7.233,11.73,2.013,7.046,-7.478,58.651,46.921,5.865
0.23,-1.964,7.089,-6.323,5.865,1.916,7.425,6.85,5.865,2.013,7.478,-7.19,58.651,46.921,5.865
0.23500000000000001,-1.964,7.377,-5.892,5.865,1.964,7.808,6.419,5.865,2.157,8.053,-6.759,64.516,46.921,5.865
0.24,-2.06,7.616,-5.317,-0.0,2.012,8.191,5.94,5.865,2.157,8.484,-6.183,64.516,46.921,5.865
0.245,-2.156,7.904,-4.646,-5.865,2.108,8.574,5.317,0.0,2.301,9.059,-5.608,70.381,46.921,0.0
0.25,-2.203,8.287,-3.88,-5.865,2.203,9.053,4.598,-5.865,2.301,9.635,-5.033,76.246,46.921,-5.865
0.255,-2.251,8.67,-2.97,-11.73,2.347,9.484,3.736,-5.865,2.588,10.21,-4.17,87.977,46.921,-5.865
0.26,-2.156,8.909,-1.916,-17.595,2.347,9.82,2.73,-11.73,2.732,10.641,-3.307,99.707,41.056,-11.73
0.265,-1.964,9.101,-0.862,-17.595,2.347,10.011,1.724,-17.595,2.876,10.785,-2.157,105.572,41.056,-17.595
0.27,-1.868,9.341,0.335,-23.46,2.395,10.107,0.575,-17.595,3.164,10.929,-1.007,117.302,35.191,-23.46
0.275,-1.724,9.388,1.341,-23.46,2.443,10.155,-0.527,-23.46,3.307,10.785,0.144,129.032,29.326,-23.46
0.28,-1.581,9.388,2.108,-29.326,2.443,10.107,-1.437,-29.326,3.595,10.785,1.007,140.762,23.46,-29.326
0.28500000000000003,-1.581,9.676,2.778,-29.326,2.539,10.155,-2.156,-29.326,3.883,10.785,1.869,146.628,5.865,-29.326
0.29,-1.533,10.107,3.066,-29.326,2.587,10.299,-2.682,-35.191,4.026,10.641,2.445,152.493,-5.865,-35.191
0.295,-1.437,10.586,3.066,-35.191,2.587,10.49,-2.826,-35.191,4.026,10.497,2.732,158.358,-23.46,-35.191
0.3,-1.485,11.161,2.778,-35.191,2.587,10.682,-2.635,-35.191,4.17,10.354,2.588,164.223,-41.056,-41.056
0.305,-1.581,11.64,2.299,-41.056,2.587,10.873,-2.251,-41.056,4.17,10.066,2.301,158.358,-58.651,-41.056
0.31,-1.677,11.975,1.629,-46.921,2.539,11.017,-1.629,-52.786,4.026,9.778,1.726,152.493,-76.246,-46.921
0.315,-1.677,12.167,0.958,-58.651,2.491,11.113,-0.958,-58.651,3.739,9.778,1.007,140.762,-93.842,-52.786
0.32,-1.82,12.071,0.383,-70.381,2.443,11.017,-0.335,-64.516,3.595,9.491,0.431,123.167,-111.437,-64.516
0.325,-1.964,11.736,-0.192,-82.111,2.539,10.73,0.287,-82.111,3.595,9.059,-0.288,99.707,-123.167,-76.246
0.33,-2.251,11.065,-0.719,-93.842,2.682,10.346,0.814,-87.977,3.595,8.628,-0.863,76.246,-140.762,-87.977
0.335,-2.587,10.203,-1.293,-105.572,3.018,9.772,1.389,-105.572,3.883,8.34,-1.438,58.651,-152.493,-99.707
0.34,-2.874,9.245,-1.916,-111.437,3.257,9.101,1.964,-111.437,4.026,7.909,-2.013,35.191,-158.358,-111.437
0.34500000000000003,-3.114,8.43,-2.635,-117.302,3.497,8.526,2.682,-117.302,4.17,7.621,-2.732,17.595,-170.088,-117.302
0.35000000000000003,-3.305,7.52,-3.545,-117.302,3.593,7.904,3.497,-123.167,4.314,7.334,-3.595,5.865,-181.818,-123.167
