Leg,Cycle,IC_Index,FO_Index,IC_Time,FO_Time,Trial_ID
R,46,9162,,45.81,,18
R,47,9285,,46.425000000000004,,18
L,48,9363,,46.815,,18
R,49,9493,,47.465,,18
L,50,9595,,47.975,,18
R,51,9685,,48.425000000000004,,18
L,52,9795,,48.975,,18
R,53,9894,,49.47,,18
L,54,9992,,49.96,,18
R,55,10084,,50.42,,18
L,56,10189,,50.945,,18
R,57,10283,,51.415,,18
L,58,10390,,51.95,,18
R,59,10492,,52.46,,18
L,60,10595,,52.975,,18
R,61,10696,,53.480000000000004,,18
L,62,10798,,53.99,,18
R,63,10891,,54.455,,18
L,64,10998,,54.99,,18
R,65,11091,,55.455,,18
L,66,11197,,55.985,,18
R,67,11288,,56.44,,18
L,68,11396,,56.980000000000004,,18
R,69,11497,,57.485,,18
L,70,11598,,57.99,,18
R,99,15345,,76.72500000000001,,21
L,100,15450,,77.25,,21
R,101,15553,,77.765,,21
L,102,15655,,78.275,,21
R,103,15758,,78.79,,21
L,104,15865,,79.325,,21
R,105,15970,,79.85000000000001,,21
L,106,16075,,80.375,,21
R,107,16169,,80.845,,21
L,108,16278,,81.39,,21
R,109,16376,,81.88,,21
L,110,16487,,82.435,,21
R,111,16582,,82.91,,21
R,112,16692,,83.46000000000001,,21
R,113,16789,,83.94500000000001,,21
L,114,16900,,84.5,,21
R,115,17007,,85.035,,21
L,116,17113,,85.565,,21
R,117,17216,,86.08,,21
R,135,20346,,101.73,,25
L,136,20450,,102.25,,25
R,137,20541,,102.705,,25
R,138,20654,,103.27,,25
R,139,20750,,103.75,,25
L,140,20857,,104.285,,25
R,141,20957,,104.785,,25
L,142,21057,,105.285,,25
L,143,21162,,105.81,,25
R,144,21264,,106.32000000000001,,25
L,145,21363,,106.815,,25
R,146,21466,,107.33,,25
L,147,21568,,107.84,,25
R,148,21668,,108.34,,25
L,149,21767,,108.83500000000001,,25
R,150,21868,,109.34,,25
R,151,21963,,109.815,,25
L,152,22069,,110.345,,25
R,153,22173,,110.86500000000001,,25
L,154,22277,,111.385,,25
R,155,22375,,111.875,,25
R,169,23937,,119.685,,26
L,170,24047,,120.235,,26
R,171,24150,,120.75,,26
L,172,24252,,121.26,,26
R,173,24358,,121.79,,26
R,174,24456,,122.28,,26
R,175,24551,,122.755,,26
L,176,24659,,123.295,,26
R,177,24759,,123.795,,26
R,178,24863,,124.315,,26
L,179,24965,,124.825,,26
R,180,25069,,125.345,,26
R,181,25167,,125.83500000000001,,26
L,182,25275,,126.375,,26
R,183,25381,,126.905,,26
L,184,25483,,127.415,,26
R,185,25579,,127.895,,26
L,186,25690,,128.45,,26
R,187,25786,,128.93,,26
L,188,25898,,129.49,,26
