Leg,Cycle,IC_Index,FO_Index,IC_Time,FO_Time,Trial_ID
R,8,11535,11637,57.675000000000004,58.185,1
L,11,11632,11733,58.160000000000004,58.665,1
R,9,11724,11830,58.620000000000005,59.15,1
L,12,11826,11932,59.13,59.660000000000004,1
R,10,11919,12026,59.595,60.13,1
L,13,12022,12125,60.11,60.625,1
R,11,12117,12221,60.585,61.105000000000004,1
L,14,12219,12322,61.095,61.61,1
R,12,12313,12418,61.565000000000005,62.09,1
L,15,12416,12517,62.08,62.585,1
R,13,12509,12615,62.545,63.075,1
L,16,12599,12714,62.995000000000005,63.57,1
R,14,12706,12812,63.53,64.06,1
L,17,12809,12907,64.045,64.535,1
R,15,12900,13004,64.5,65.02,1
L,18,13002,13106,65.01,65.53,1
R,16,13100,13203,65.5,66.015,1
L,19,13200,13304,66.0,66.52,1
R,17,13296,13401,66.48,67.005,1
L,20,13396,13499,66.98,67.495,1
R,18,13489,13596,67.44500000000001,67.98,1
L,21,13593,13690,67.965,68.45,1
R,19,13683,13785,68.415,68.925,1
L,22,13783,13885,68.915,69.425,1
R,20,13877,13982,69.385,69.91,1
L,23,13978,14079,69.89,70.395,1
R,21,14072,14174,70.36,70.87,1
L,24,14170,14275,70.85000000000001,71.375,1
R,22,14266,14378,71.33,71.89,1
L,28,17452,17548,87.26,87.74,2
R,28,17537,17631,87.685,88.155,2
L,29,17626,17722,88.13,88.61,2
R,29,17716,17808,88.58,89.04,2
L,30,17805,17899,89.025,89.495,2
R,30,17893,17987,89.465,89.935,2
L,31,17984,18079,89.92,90.395,2
R,31,18073,18169,90.365,90.845,2
L,32,18165,18263,90.825,91.315,2
R,32,18256,18352,91.28,91.76,2
L,33,18348,18448,91.74,92.24,2
R,33,18441,18540,92.205,92.7,2
L,34,18534,18636,92.67,93.18,2
R,34,18627,18724,93.135,93.62,2
L,35,18719,18818,93.595,94.09,2
R,35,18810,18906,94.05,94.53,2
L,36,18900,19000,94.5,95.0,2
R,36,18993,19089,94.965,95.44500000000001,2
L,37,19085,19184,95.425,95.92,2
R,37,19178,19273,95.89,96.36500000000001,2
L,38,19269,19368,96.345,96.84,2
R,38,19361,19462,96.805,97.31,2
L,39,19456,19556,97.28,97.78,2
R,39,19549,19649,97.745,98.245,2
L,40,19645,19743,98.22500000000001,98.715,2
R,40,19738,19837,98.69,99.185,2
L,41,19830,19932,99.15,99.66,2
R,45,22417,22513,112.08500000000001,112.565,3
L,47,22510,22609,112.55,113.045,3
R,46,22601,22699,113.005,113.495,3
L,48,22694,22792,113.47,113.96000000000001,3
R,47,22786,22880,113.93,114.4,3
L,49,22879,22977,114.395,114.885,3
R,48,22968,23064,114.84,115.32000000000001,3
L,50,23059,23154,115.295,115.77,3
R,49,23149,23246,115.745,116.23,3
L,51,23241,23340,116.205,116.7,3
R,50,23331,23428,116.655,117.14,3
L,52,23425,23523,117.125,117.61500000000001,3
R,51,23516,23615,117.58,118.075,3
L,53,23609,23712,118.045,118.56,3
R,52,23703,23807,118.515,119.035,3
L,54,23800,23902,119.0,119.51,3
R,53,23896,23993,119.48,119.965,3
L,55,23987,24089,119.935,120.44500000000001,3
R,54,24081,24183,120.405,120.915,3
L,56,24178,24282,120.89,121.41,3
R,55,24274,24376,121.37,121.88,3
L,57,24371,24471,121.855,122.355,3
R,56,24464,24560,122.32000000000001,122.8,3
L,58,24554,24654,122.77,123.27,3
R,57,24648,24745,123.24000000000001,123.72500000000001,3
L,59,24738,24837,123.69,124.185,3
L,63,27306,27407,136.53,137.035,4
R,63,27398,27493,136.99,137.465,4
L,64,27486,27584,137.43,137.92000000000002,4
R,64,27579,27672,137.895,138.36,4
L,65,27665,27764,138.32500000000002,138.82,4
R,65,27757,27854,138.785,139.27,4
L,66,27848,27947,139.24,139.735,4
R,66,27941,28038,139.705,140.19,4
L,67,28034,28133,140.17000000000002,140.665,4
R,67,28127,28226,140.635,141.13,4
L,68,28221,28321,141.105,141.605,4
R,68,28312,28409,141.56,142.04500000000002,4
L,69,28405,28506,142.025,142.53,4
R,69,28498,28597,142.49,142.985,4
L,70,28593,28692,142.965,143.46,4
R,70,28687,28785,143.435,143.925,4
L,71,28781,28884,143.905,144.42000000000002,4
R,71,28877,28979,144.385,144.895,4
L,72,28972,29075,144.86,145.375,4
R,72,29068,29168,145.34,145.84,4
L,73,29164,29267,145.82,146.335,4
R,73,29260,29362,146.3,146.81,4
L,74,29354,29455,146.77,147.275,4
R,74,29450,29547,147.25,147.735,4
L,75,29542,29646,147.71,148.23,4
R,75,29637,29740,148.185,148.70000000000002,4
L,76,29732,29837,148.66,149.185,4
