time_aligned_sec,L_Acc_X_aligned,L_Acc_Y_aligned,L_Acc_Z_aligned,L_Gyro_Z_aligned,R_Acc_X_aligned,R_Acc_Y_aligned,R_Acc_Z_aligned,R_Gyro_Z_aligned,T_Acc_X_aligned,T_Acc_Y_aligned,T_Acc_Z_aligned,T_Gyro_X_aligned,T_Gyro_Y_aligned,T_Gyro_Z_aligned
0.0,1.677,9.963,-2.299,-11.73,-0.719,10.538,3.018,-5.865,1.869,10.354,2.876,-5.865,23.46,5.865
0.005,1.629,9.915,-2.156,-11.73,-0.719,10.442,2.874,-5.865,2.013,10.354,3.02,-5.865,29.326,5.865
0.01,1.533,9.867,-2.012,-11.73,-0.719,10.299,2.73,-11.73,2.013,10.497,3.02,0.0,35.191,5.865
0.015,1.533,9.82,-1.916,-11.73,-0.671,10.203,2.587,-11.73,2.013,10.497,2.876,0.0,35.191,5.865
0.02,1.485,9.772,-1.868,-17.595,-0.671,10.107,2.587,-11.73,1.869,10.497,2.732,0.0,41.056,5.865
0.025,1.485,9.724,-1.868,-17.595,-0.671,10.011,2.539,-11.73,1.726,10.497,2.588,0.0,41.056,11.73
0.03,1.485,9.676,-1.82,-11.73,-0.671,9.915,2.491,-11.73,1.726,10.497,2.445,5.865,46.921,11.73
0.035,1.437,9.676,-1.677,-11.73,-0.671,9.867,2.395,-11.73,1.582,10.497,2.301,5.865,46.921,11.73
0.04,1.389,9.724,-1.533,-11.73,-0.623,9.82,2.251,-11.73,1.582,10.354,2.157,5.865,46.921,17.595
0.045,1.293,9.772,-1.389,-11.73,-0.527,9.867,2.06,-11.73,1.438,10.354,2.157,5.865,52.786,17.595
0.05,1.245,9.724,-1.198,-11.73,-0.479,9.963,1.916,-11.73,1.438,10.354,2.157,5.865,52.786,17.595
0.055,1.15,9.676,-1.102,-11.73,-0.431,9.915,1.772,-11.73,1.438,10.354,2.013,5.865,52.786,17.595
0.06,1.102,9.676,-0.958,-11.73,-0.383,9.915,1.629,-11.73,1.438,10.497,2.013,0.0,52.786,17.595
0.065,1.054,9.628,-0.766,-11.73,-0.335,9.963,1.437,-11.73,1.294,10.497,1.726,0.0,52.786,11.73
0.07,0.958,9.628,-0.479,-11.73,-0.24,10.107,1.15,-5.865,1.294,10.497,1.582,-5.865,52.786,11.73
0.075,0.814,9.676,-0.24,-5.865,-0.144,10.251,0.91,-5.865,1.15,10.497,1.438,-5.865,52.786,11.73
0.08,0.671,9.772,0.096,-5.865,-0.048,10.299,0.575,-11.73,1.15,10.354,1.294,-5.865,52.786,11.73
0.085,0.623,9.772,0.335,-11.73,0.0,10.203,0.335,-11.73,1.007,10.354,1.15,-11.73,52.786,11.73
0.09,0.575,9.724,0.623,-11.73,0.0,10.107,0.048,-11.73,1.007,10.21,1.007,-11.73,52.786,11.73
0.095,0.527,9.676,0.814,-11.73,0.0,10.011,-0.144,-11.73,0.863,10.066,0.719,-11.73,52.786,11.73
0.1,0.527,9.532,1.006,-11.73,-0.048,9.867,-0.335,-11.73,0.719,10.066,0.431,-17.595,52.786,11.73
0.105,0.479,9.436,1.102,-11.73,-0.048,9.724,-0.431,-11.73,0.575,10.21,0.144,-11.73,52.786,11.73
