Leg,Cycle,IC_Index,FO_Index,IC_Time,FO_Time,Trial_ID
L,9,9319,9415,46.595,47.075,1
R,9,9395,9505,46.975,47.525,1
L,10,9502,9593,47.51,47.965,1
R,10,9588,9682,47.94,48.410000000000004,1
L,11,9678,9772,48.39,48.86,1
R,11,9767,9861,48.835,49.305,1
L,12,9858,9950,49.29,49.75,1
R,12,9934,10043,49.67,50.215,1
L,13,10033,10129,50.165,50.645,1
R,13,10114,10216,50.57,51.08,1
L,14,10214,10306,51.07,51.53,1
R,14,10289,10397,51.445,51.985,1
L,15,10394,10486,51.97,52.43,1
R,15,10480,10573,52.4,52.865,1
L,16,10571,10663,52.855000000000004,53.315,1
R,16,10659,10753,53.295,53.765,1
L,17,10750,10838,53.75,54.19,1
R,17,10823,10928,54.115,54.64,1
L,18,10923,11014,54.615,55.07,1
R,18,11012,11101,55.06,55.505,1
L,19,11100,11187,55.5,55.935,1
R,19,11184,11274,55.92,56.370000000000005,1
L,20,11271,11359,56.355000000000004,56.795,1
R,20,11356,11448,56.78,57.24,1
L,21,11448,11537,57.24,57.685,1
R,21,11533,11623,57.665,58.115,1
L,22,11622,11709,58.11,58.545,1
R,22,11706,11796,58.53,58.980000000000004,1
L,23,11796,11884,58.980000000000004,59.42,1
R,23,11883,11972,59.415,59.86,1
L,24,11968,12058,59.84,60.29,1
R,24,12055,12145,60.275,60.725,1
L,25,12140,12230,60.7,61.15,1
R,25,12229,12315,61.145,61.575,1
L,31,14416,14505,72.08,72.525,2
R,30,14489,14593,72.44500000000001,72.965,2
L,32,14593,14682,72.965,73.41,2
R,31,14667,14774,73.33500000000001,73.87,2
L,33,14774,14861,73.87,74.305,2
R,32,14846,14955,74.23,74.775,2
L,34,14952,15040,74.76,75.2,2
R,33,15037,15130,75.185,75.65,2
L,35,15131,15220,75.655,76.10000000000001,2
R,34,15218,15311,76.09,76.555,2
L,36,15310,15402,76.55,77.01,2
R,35,15386,15492,76.93,77.46000000000001,2
L,37,15492,15582,77.46000000000001,77.91,2
R,36,15580,15675,77.9,78.375,2
L,38,15675,15766,78.375,78.83,2
R,37,15749,15858,78.745,79.29,2
L,39,15856,15947,79.28,79.735,2
R,38,15932,16038,79.66,80.19,2
L,40,16037,16128,80.185,80.64,2
R,39,16124,16217,80.62,81.08500000000001,2
L,41,16216,16304,81.08,81.52,2
R,40,16301,16396,81.505,81.98,2
L,42,16395,16483,81.97500000000001,82.415,2
R,41,16482,16575,82.41,82.875,2
L,43,16572,16656,82.86,83.28,2
R,42,16657,16764,83.285,83.82000000000001,2
L,44,16737,16848,83.685,84.24,2
R,43,16842,16934,84.21000000000001,84.67,2
L,45,16934,17024,84.67,85.12,2
R,44,17022,17114,85.11,85.57000000000001,2
L,46,17113,17202,85.565,86.01,2
R,45,17197,17294,85.985,86.47,2
R,49,19139,19243,95.69500000000001,96.215,3
L,52,19244,19335,96.22,96.675,3
R,50,19318,19426,96.59,97.13,3
L,53,19426,19519,97.13,97.595,3
R,51,19500,19609,97.5,98.045,3
L,54,19607,19697,98.035,98.485,3
R,52,19695,19790,98.47500000000001,98.95,3
L,55,19790,19880,98.95,99.4,3
R,53,19865,19969,99.325,99.845,3
L,56,19969,20062,99.845,100.31,3
R,54,20046,20152,100.23,100.76,3
L,57,20152,20240,100.76,101.2,3
R,55,20239,20332,101.19500000000001,101.66,3
L,58,20332,20424,101.66,102.12,3
R,56,20421,20514,102.105,102.57000000000001,3
L,59,20514,20603,102.57000000000001,103.015,3
R,57,20602,20694,103.01,103.47,3
L,60,20696,20784,103.48,103.92,3
R,58,20781,20871,103.905,104.355,3
L,61,20870,20960,104.35000000000001,104.8,3
R,59,20945,21050,104.72500000000001,105.25,3
L,62,21051,21141,105.255,105.705,3
R,60,21137,21231,105.685,106.155,3
L,63,21228,21321,106.14,106.605,3
R,61,21306,21407,106.53,107.035,3
L,64,21407,21499,107.035,107.495,3
R,62,21483,21589,107.415,107.94500000000001,3
L,65,21589,21680,107.94500000000001,108.4,3
R,63,21677,21769,108.385,108.845,3
L,66,21768,21859,108.84,109.295,3
R,64,21855,21948,109.275,109.74000000000001,3
R,68,23475,23577,117.375,117.885,4
L,73,23576,23663,117.88,118.315,4
R,69,23650,23751,118.25,118.755,4
L,74,23751,23841,118.755,119.205,4
R,70,23838,23928,119.19,119.64,4
L,75,23928,24015,119.64,120.075,4
R,71,24003,24103,120.015,120.515,4
L,76,24102,24192,120.51,120.96000000000001,4
R,72,24190,24280,120.95,121.4,4
L,77,24281,24369,121.405,121.845,4
R,73,24366,24456,121.83,122.28,4
L,78,24456,24545,122.28,122.72500000000001,4
R,74,24542,24633,122.71000000000001,123.165,4
L,79,24632,24723,123.16,123.61500000000001,4
R,75,24720,24814,123.60000000000001,124.07000000000001,4
L,80,24814,24902,124.07000000000001,124.51,4
R,76,24902,24993,124.51,124.965,4
L,81,24991,25080,124.955,125.4,4
R,77,25079,25173,125.395,125.86500000000001,4
L,82,25173,25263,125.86500000000001,126.315,4
R,78,25250,25353,126.25,126.765,4
L,83,25352,25440,126.76,127.2,4
R,79,25437,25529,127.185,127.645,4
L,84,25530,25617,127.65,128.085,4
R,80,25613,25710,128.065,128.55,4
L,85,25710,25800,128.55,129.0,4
R,81,25797,25888,128.985,129.44,4
L,86,25888,25977,129.44,129.885,4
R,82,25974,26068,129.87,130.34,4
L,87,26067,26158,130.335,130.79,4
R,83,26153,26248,130.76500000000001,131.24,4
