Leg,Cycle,IC_Index,FO_Index,IC_Time,FO_Time,Trial_ID
L,12,9220,9328,46.1,46.64,1
R,10,9323,9435,46.615,47.175000000000004,1
L,13,9426,9523,47.13,47.615,1
R,11,9517,9622,47.585,48.11,1
L,14,9614,9708,48.07,48.54,1
R,12,9703,9809,48.515,49.045,1
L,15,9800,9898,49.0,49.49,1
R,13,9889,9991,49.445,49.955,1
L,16,9982,10084,49.910000000000004,50.42,1
R,14,10076,10183,50.38,50.915,1
L,17,10176,10270,50.88,51.35,1
R,15,10264,10366,51.32,51.83,1
L,18,10357,10453,51.785000000000004,52.265,1
R,16,10445,10552,52.225,52.76,1
L,19,10546,10641,52.730000000000004,53.205,1
R,17,10635,10737,53.175000000000004,53.685,1
L,20,10729,10830,53.645,54.15,1
R,18,10822,10925,54.11,54.625,1
L,21,10918,11013,54.59,55.065,1
R,19,11009,11112,55.045,55.56,1
L,22,11105,11199,55.525,55.995000000000005,1
R,20,11196,11291,55.980000000000004,56.455,1
L,23,11283,11380,56.415,56.9,1
R,21,11376,11483,56.88,57.415,1
L,24,11473,11569,57.365,57.845,1
R,22,11563,11660,57.815,58.300000000000004,1
L,25,11656,11751,58.28,58.755,1
R,23,11748,11850,58.74,59.25,1
L,26,11840,11936,59.2,59.68,1
R,24,11929,12029,59.645,60.145,1
L,27,12021,12120,60.105000000000004,60.6,1
R,25,12115,12216,60.575,61.08,1
L,28,12211,12308,61.055,61.54,1
R,26,12303,12407,61.515,62.035000000000004,1
L,29,12401,12498,62.005,62.49,1
R,27,12493,12598,62.465,62.99,1
L,30,12589,12685,62.945,63.425000000000004,1
L,35,14945,15045,74.72500000000001,75.22500000000001,2
R,34,15038,15141,75.19,75.705,2
L,36,15136,15234,75.68,76.17,2
R,35,15230,15335,76.15,76.675,2
L,37,15328,15426,76.64,77.13,2
R,36,15421,15531,77.105,77.655,2
L,38,15525,15616,77.625,78.08,2
R,37,15612,15708,78.06,78.54,2
L,39,15705,15801,78.525,79.005,2
R,38,15796,15898,78.98,79.49,2
L,40,15891,15990,79.455,79.95,2
R,39,15983,16085,79.915,80.425,2
L,41,16077,16174,80.385,80.87,2
R,40,16170,16271,80.85000000000001,81.355,2
L,42,16265,16359,81.325,81.795,2
R,41,16355,16460,81.775,82.3,2
L,43,16451,16551,82.255,82.755,2
R,42,16549,16651,82.745,83.255,2
L,44,16645,16739,83.22500000000001,83.69500000000001,2
R,43,16736,16833,83.68,84.165,2
L,45,16828,16924,84.14,84.62,2
R,44,16920,17022,84.60000000000001,85.11,2
L,46,17013,17112,85.065,85.56,2
R,45,17108,17211,85.54,86.055,2
L,47,17203,17303,86.015,86.515,2
R,46,17300,17403,86.5,87.015,2
L,48,17395,17495,86.97500000000001,87.47500000000001,2
R,47,17491,17593,87.455,87.965,2
L,49,17589,17684,87.94500000000001,88.42,2
R,48,17680,17789,88.4,88.94500000000001,2
L,50,17784,17880,88.92,89.4,2
R,49,17874,17977,89.37,89.885,2
L,51,17971,18065,89.855,90.325,2
R,50,18061,18164,90.305,90.82000000000001,2
L,52,18155,18251,90.775,91.255,2
R,51,18244,18349,91.22,91.745,2
L,53,18343,18439,91.715,92.19500000000001,2
R,56,20339,20457,101.69500000000001,102.285,3
L,58,20450,20552,102.25,102.76,3
R,57,20535,20651,102.675,103.255,3
L,59,20644,20741,103.22,103.705,3
R,58,20736,20836,103.68,104.18,3
L,60,20827,20929,104.135,104.645,3
R,59,20923,21026,104.61500000000001,105.13,3
L,61,21021,21117,105.105,105.58500000000001,3
R,60,21113,21210,105.565,106.05,3
L,62,21203,21302,106.015,106.51,3
R,61,21299,21396,106.495,106.98,3
L,63,21392,21485,106.96000000000001,107.425,3
R,62,21483,21580,107.415,107.9,3
L,64,21575,21671,107.875,108.355,3
R,63,21668,21771,108.34,108.855,3
L,65,21768,21864,108.84,109.32000000000001,3
R,64,21858,21955,109.29,109.775,3
L,66,21950,22044,109.75,110.22,3
R,65,22030,22139,110.15,110.69500000000001,3
L,67,22139,22234,110.69500000000001,111.17,3
R,66,22232,22330,111.16,111.65,3
L,68,22321,22422,111.605,112.11,3
R,67,22421,22520,112.105,112.60000000000001,3
L,69,22514,22611,112.57000000000001,113.055,3
R,68,22608,22710,113.04,113.55,3
L,70,22703,22802,113.515,114.01,3
R,69,22797,22896,113.985,114.48,3
L,71,22892,22988,114.46000000000001,114.94,3
R,70,22985,23084,114.925,115.42,3
L,72,23077,23175,115.385,115.875,3
R,71,23173,23274,115.86500000000001,116.37,3
L,73,23268,23365,116.34,116.825,3
R,72,23362,23469,116.81,117.345,3
L,74,23463,23555,117.315,117.775,3
R,73,23550,23653,117.75,118.265,3
L,79,25460,25563,127.3,127.815,4
R,78,25546,25660,127.73,128.3,4
L,80,25654,25751,128.27,128.755,4
R,79,25736,25850,128.68,129.25,4
L,81,25843,25946,129.215,129.73,4
R,80,25942,26042,129.71,130.21,4
L,82,26038,26134,130.19,130.67000000000002,4
R,81,26128,26230,130.64000000000001,131.15,4
L,83,26220,26323,131.1,131.615,4
R,82,26308,26420,131.54,132.1,4
L,84,26415,26507,132.075,132.535,4
R,83,26495,26610,132.475,133.05,4
L,85,26604,26701,133.02,133.505,4
R,84,26688,26797,133.44,133.985,4
L,86,26791,26889,133.955,134.445,4
R,85,26884,26987,134.42000000000002,134.935,4
L,87,26980,27080,134.9,135.4,4
R,86,27078,27176,135.39000000000001,135.88,4
L,88,27172,27270,135.86,136.35,4
R,87,27262,27365,136.31,136.82500000000002,4
L,89,27356,27460,136.78,137.3,4
R,88,27455,27557,137.275,137.785,4
L,90,27552,27648,137.76,138.24,4
R,89,27645,27746,138.225,138.73,4
L,91,27740,27836,138.70000000000002,139.18,4
R,90,27834,27935,139.17000000000002,139.675,4
L,92,27932,28029,139.66,140.145,4
R,91,28022,28127,140.11,140.635,4
L,93,28123,28219,140.615,141.095,4
R,92,28215,28314,141.07500000000002,141.57,4
L,94,28308,28410,141.54,142.05,4
R,93,28405,28503,142.025,142.51500000000001,4
L,95,28496,28597,142.48,142.985,4
R,94,28593,28701,142.965,143.505,4
