time_aligned_sec,L_Acc_X_aligned,L_Acc_Y_aligned,L_Acc_Z_aligned,L_Gyro_Z_aligned,R_Acc_X_aligned,R_Acc_Y_aligned,R_Acc_Z_aligned,R_Gyro_Z_aligned,T_Acc_X_aligned,T_Acc_Y_aligned,T_Acc_Z_aligned,T_Gyro_X_aligned,T_Gyro_Y_aligned,T_Gyro_Z_aligned
0.0,0.335,6.946,7.329,5.865,0.527,6.946,-7.041,5.865,-0.288,7.19,-7.334,0.0,0.0,0.0
0.005,0.335,6.898,7.377,5.865,0.527,6.898,-7.041,5.865,-0.288,7.19,-7.334,0.0,0.0,0.0
0.01,0.383,6.85,7.425,5.865,0.479,6.802,-7.089,5.865,-0.288,7.19,-7.334,0.0,0.0,0.0
0.015,0.383,6.85,7.472,5.865,0.479,6.754,-7.137,5.865,-0.288,7.046,-7.334,0.0,5.865,0.0
0.02,0.383,6.754,7.52,-0.0,0.527,6.706,-7.185,5.865,-0.288,7.046,-7.478,0.0,5.865,0.0
0.025,0.335,6.802,7.472,-0.0,0.575,6.706,-7.089,0.0,-0.431,6.902,-7.478,0.0,5.865,0.0
0.03,0.287,6.802,7.425,-0.0,0.527,6.706,-7.041,0.0,-0.431,6.902,-7.478,0.0,5.865,0.0
0.035,0.335,6.802,7.329,-0.0,0.479,6.706,-6.993,0.0,-0.431,6.902,-7.478,11.73,11.73,0.0
0.04,0.335,6.802,7.281,-0.0,0.479,6.706,-6.946,0.0,-0.288,6.902,-7.334,11.73,11.73,0.0
0.045,0.335,6.706,7.233,-5.865,0.479,6.754,-6.946,0.0,-0.288,6.902,-7.334,11.73,11.73,5.865
0.05,0.383,6.706,7.281,-5.865,0.431,6.754,-6.993,0.0,-0.288,6.902,-7.334,11.73,11.73,5.865
0.055,0.383,6.85,7.329,-5.865,0.431,6.802,-6.993,-5.865,-0.288,6.902,-7.334,11.73,17.595,5.865
0.06,0.335,6.946,7.329,-5.865,0.479,6.898,-7.041,-5.865,-0.288,6.902,-7.334,11.73,11.73,5.865
0.065,0.335,7.041,7.329,-5.865,0.527,6.946,-7.041,-5.865,-0.288,6.902,-7.334,11.73,17.595,5.865
0.07,0.335,7.137,7.377,-5.865,0.575,6.993,-7.041,-5.865,-0.288,7.046,-7.334,11.73,17.595,5.865
0.075,0.335,7.185,7.425,-5.865,0.527,7.041,-7.089,-5.865,-0.431,7.046,-7.334,17.595,17.595,11.73
0.08,0.431,7.233,7.425,-5.865,0.479,7.089,-7.089,-5.865,-0.431,7.19,-7.334,11.73,17.595,11.73
0.085,0.383,7.233,7.425,-5.865,0.479,7.041,-7.089,0.0,-0.431,7.19,-7.334,17.595,17.595,5.865
0.09,0.431,7.185,7.425,-0.0,0.479,6.993,-7.089,0.0,-0.288,7.19,-7.334,17.595,17.595,5.865
0.095,0.431,7.089,7.425,-0.0,0.479,6.946,-7.089,0.0,-0.288,7.19,-7.334,11.73,23.46,5.865
0.1,0.431,6.993,7.425,-0.0,0.431,6.898,-7.089,0.0,-0.288,7.046,-7.334,11.73,23.46,5.865
0.105,0.431,6.946,7.425,-0.0,0.431,6.802,-7.137,0.0,-0.288,7.046,-7.334,11.73,23.46,0.0
0.11,0.479,6.85,7.472,-0.0,0.431,6.754,-7.137,0.0,-0.288,7.046,-7.478,11.73,23.46,0.0
0.115,0.479,6.85,7.425,-0.0,0.383,6.706,-7.137,0.0,-0.288,6.902,-7.478,11.73,23.46,0.0
