Leg,Cycle,IC_Index,FO_Index,IC_Time,FO_Time,Trial_ID
R,27,9911,,49.555,,11
L,28,10012,,50.06,,11
R,29,10105,,50.525,,11
L,30,10209,,51.045,,11
R,31,10301,,51.505,,11
L,32,10404,,52.02,,11
R,33,10495,,52.475,,11
R,34,10596,,52.980000000000004,,11
L,35,10691,,53.455,,11
R,36,10795,,53.975,,11
L,37,10887,,54.435,,11
R,38,10989,,54.945,,11
L,39,11082,,55.410000000000004,,11
R,40,11185,,55.925000000000004,,11
L,41,11280,,56.4,,11
R,42,11380,,56.9,,11
L,43,11478,,57.39,,11
R,44,11584,,57.92,,11
L,45,11679,,58.395,,11
R,46,11781,,58.905,,11
L,47,11873,,59.365,,11
R,48,11971,,59.855000000000004,,11
L,49,12066,,60.33,,11
R,50,12162,,60.81,,11
R,51,12255,,61.275,,11
L,52,12352,,61.76,,11
R,53,12448,,62.24,,11
L,54,12546,,62.730000000000004,,11
R,55,12640,,63.2,,11
L,56,12740,,63.7,,11
R,57,12832,,64.16,,11
L,58,12933,,64.665,,11
R,59,13026,,65.13,,11
L,60,13131,,65.655,,11
R,76,15473,,77.365,,13
L,77,15570,,77.85000000000001,,13
R,78,15663,,78.315,,13
L,79,15764,,78.82000000000001,,13
R,80,15853,,79.265,,13
L,81,15950,,79.75,,13
R,82,16037,,80.185,,13
L,83,16134,,80.67,,13
R,84,16223,,81.115,,13
L,85,16324,,81.62,,13
R,86,16415,,82.075,,13
L,87,16512,,82.56,,13
R,88,16601,,83.005,,13
L,89,16698,,83.49,,13
R,90,16785,,83.925,,13
L,91,16883,,84.415,,13
R,92,16972,,84.86,,13
L,93,17071,,85.355,,13
R,94,17162,,85.81,,13
L,95,17261,,86.305,,13
R,96,17352,,86.76,,13
L,97,17451,,87.255,,13
R,98,17543,,87.715,,13
L,99,17643,,88.215,,13
R,100,17736,,88.68,,13
L,101,17837,,89.185,,13
R,102,17931,,89.655,,13
L,103,18033,,90.165,,13
R,104,18127,,90.635,,13
L,105,18228,,91.14,,13
R,106,18321,,91.605,,13
L,126,20777,,103.885,,17
R,127,20866,,104.33,,17
L,128,20957,,104.785,,17
R,129,21049,,105.245,,17
L,130,21145,,105.72500000000001,,17
R,131,21237,,106.185,,17
L,132,21336,,106.68,,17
R,133,21425,,107.125,,17
L,134,21519,,107.595,,17
R,135,21609,,108.045,,17
L,136,21705,,108.525,,17
R,137,21797,,108.985,,17
L,138,21895,,109.47500000000001,,17
R,139,21985,,109.925,,17
L,140,22080,,110.4,,17
R,141,22175,,110.875,,17
L,142,22272,,111.36,,17
R,143,22367,,111.83500000000001,,17
L,144,22467,,112.33500000000001,,17
R,145,22556,,112.78,,17
L,146,22656,,113.28,,17
R,147,22750,,113.75,,17
R,148,22849,,114.245,,17
L,149,22941,,114.705,,17
R,150,23038,,115.19,,17
L,151,23129,,115.645,,17
R,152,23228,,116.14,,17
L,153,23324,,116.62,,17
R,168,26907,,134.535,,19
L,169,26998,,134.99,,19
R,170,27085,,135.425,,19
L,171,27176,,135.88,,19
R,172,27264,,136.32,,19
L,173,27357,,136.785,,19
R,174,27442,,137.21,,19
R,175,27534,,137.67000000000002,,19
L,176,27621,,138.105,,19
R,177,27712,,138.56,,19
L,178,27798,,138.99,,19
R,179,27891,,139.455,,19
L,180,27979,,139.895,,19
R,181,28075,,140.375,,19
L,182,28162,,140.81,,19
R,183,28262,,141.31,,19
L,184,28348,,141.74,,19
R,185,28438,,142.19,,19
L,186,28528,,142.64000000000001,,19
R,187,28619,,143.095,,19
L,188,28707,,143.535,,19
R,189,28804,,144.02,,19
L,190,28889,,144.445,,19
R,191,28981,,144.905,,19
L,192,29072,,145.36,,19
