Leg,Cycle,IC_Index,FO_Index,IC_Time,FO_Time,Trial_ID
L,44,12456,,62.28,,17
R,45,12536,,62.68,,17
L,46,12645,,63.225,,17
R,47,12727,,63.635,,17
R,48,12830,,64.15,,17
R,49,12906,,64.53,,17
L,50,13016,,65.08,,17
R,51,13094,,65.47,,17
L,52,13199,,65.995,,17
R,53,13279,,66.395,,17
L,54,13385,,66.925,,17
R,55,13463,,67.315,,17
L,56,13568,,67.84,,17
R,57,13647,,68.235,,17
L,58,13749,,68.745,,17
R,59,13826,,69.13,,17
L,60,13928,,69.64,,17
R,61,14004,,70.02,,17
L,62,14110,,70.55,,17
R,63,14185,,70.925,,17
L,64,14288,,71.44,,17
R,65,14366,,71.83,,17
L,66,14470,,72.35000000000001,,17
R,67,14543,,72.715,,17
L,68,14649,,73.245,,17
R,69,14726,,73.63,,17
L,70,14828,,74.14,,17
R,71,14901,,74.505,,17
L,72,15003,,75.015,,17
R,73,15089,,75.44500000000001,,17
L,74,15184,,75.92,,17
R,75,15261,,76.305,,17
L,95,18193,,90.965,,22
R,96,18268,,91.34,,22
L,97,18369,,91.845,,22
R,98,18456,,92.28,,22
R,99,18550,,92.75,,22
R,100,18625,,93.125,,22
L,101,18734,,93.67,,22
R,102,18811,,94.055,,22
L,103,18914,,94.57000000000001,,22
R,104,18991,,94.955,,22
L,105,19091,,95.455,,22
R,106,19177,,95.885,,22
L,107,19272,,96.36,,22
R,108,19347,,96.735,,22
L,109,19450,,97.25,,22
R,110,19529,,97.645,,22
L,111,19628,,98.14,,22
R,112,19714,,98.57000000000001,,22
L,113,19808,,99.04,,22
R,114,19891,,99.455,,22
L,115,19982,,99.91,,22
R,116,20058,,100.29,,22
L,117,20161,,100.805,,22
R,118,20244,,101.22,,22
L,119,20336,,101.68,,22
R,120,20421,,102.105,,22
L,121,20515,,102.575,,22
R,122,20599,,102.995,,22
L,123,20690,,103.45,,22
R,124,20766,,103.83,,22
L,125,20870,,104.35000000000001,,22
R,126,20956,,104.78,,22
L,146,23308,,116.54,,26
R,147,23386,,116.93,,26
L,148,23488,,117.44,,26
R,149,23579,,117.895,,26
R,150,23676,,118.38,,26
R,151,23753,,118.765,,26
L,152,23859,,119.295,,26
R,153,23937,,119.685,,26
L,154,24039,,120.19500000000001,,26
R,155,24117,,120.58500000000001,,26
R,156,24224,,121.12,,26
R,157,24301,,121.505,,26
L,158,24405,,122.025,,26
R,159,24486,,122.43,,26
R,160,24592,,122.96000000000001,,26
R,161,24667,,123.33500000000001,,26
L,162,24771,,123.855,,26
R,163,24858,,124.29,,26
R,164,24956,,124.78,,26
L,165,25035,,125.175,,26
R,166,25142,,125.71000000000001,,26
R,167,25218,,126.09,,26
L,168,25327,,126.635,,26
R,169,25409,,127.045,,26
L,170,25516,,127.58,,26
R,171,25595,,127.97500000000001,,26
L,172,25701,,128.505,,26
R,173,25790,,128.95,,26
L,174,25887,,129.435,,26
R,175,25975,,129.875,,26
L,176,26071,,130.355,,26
L,196,28915,,144.57500000000002,,31
R,197,29007,,145.035,,31
L,198,29105,,145.525,,31
R,199,29182,,145.91,,31
L,200,29290,,146.45000000000002,,31
R,201,29380,,146.9,,31
L,202,29476,,147.38,,31
R,203,29555,,147.775,,31
L,204,29661,,148.305,,31
R,205,29736,,148.68,,31
L,206,29842,,149.21,,31
R,207,29933,,149.665,,31
L,208,30032,,150.16,,31
R,209,30120,,150.6,,31
L,210,30219,,151.095,,31
R,211,30309,,151.54500000000002,,31
L,212,30407,,152.035,,31
R,213,30485,,152.425,,31
L,214,30593,,152.965,,31
R,215,30672,,153.36,,31
L,216,30781,,153.905,,31
R,217,30873,,154.365,,31
L,218,30976,,154.88,,31
R,219,31067,,155.335,,31
L,220,31166,,155.83,,31
R,221,31257,,156.285,,31
L,222,31358,,156.79,,31
R,223,31435,,157.175,,31
L,224,31541,,157.705,,31
R,225,31621,,158.105,,31
L,226,31728,,158.64000000000001,,31
R,227,31806,,159.03,,31
L,228,31915,,159.57500000000002,,31
